outer_fold,inner_fold,regime_threshold,training_high_rows,validation_high_rows,usable_for_threshold,validation_auc
1,1,0.014055873762005183,29,53,True,0.5782608695652174
1,2,0.01593235196671364,58,35,True,0.5816326530612245
1,3,0.016665941157101332,87,18,True,0.3896103896103896
2,1,0.016300846873041314,58,52,True,0.4667159763313609
2,2,0.015300499917128431,116,47,True,0.5677655677655677
2,3,0.014771085913671635,173,0,False,
3,1,0.016885704722394392,85,60,True,0.48888888888888893
3,2,0.014998158308733956,170,0,False,
3,3,0.0120938438653007,255,43,True,0.6190476190476192
