family,feature,development_rows,lower_threshold_q33,upper_threshold_q67,development_mean,development_median,development_std
volatility,target_rolling_volatility,1339,0.007508774038135087,0.011021775577374217,0.010764607663932715,0.008711663414476132,0.006564040244525251
volatility,realized_volatility_20,1339,0.006863125753346404,0.011395504790688134,0.011388973250014695,0.00893223723553496,0.009118526699934999
volatility,realized_volatility_40,1339,0.0072548708989772625,0.011008104809655766,0.011100977602969856,0.008652964238366506,0.008068366317179361
volatility,vix_level,1339,15.890000343322754,21.68000030517578,21.49540702757148,18.229999542236328,11.129456291268216
volatility,vvix_level,1339,85.68000030517578,98.16999816894531,93.87067213906023,91.69999694824219,17.330524632584062
volatility,vix_vix3m_ratio,1339,0.8893158717352782,0.9638157973851965,0.9386318369880065,0.9259927536822328,0.09894231500123496
volatility,implied_realized_ratio_20,1339,1.1523902524316385,1.5091099711565616,1.3846366674652768,1.3278081684311671,0.43286314567596984
trend,close_vs_sma_50,1339,-0.011659604569938642,0.017635922820685934,-0.005904548366650258,0.004469791579019278,0.049660127002256076
trend,ma_alignment_score,1339,0.0,1.0,0.1179985063480209,0.0,0.8057653698286464
trend,adx_14,1339,18.910488927718188,26.13796707481211,23.699361549273707,22.342718550849742,8.428310453951523
trend,signed_trend_efficiency_20,1339,-0.11594124957373968,0.1462529679148449,0.03202053212851063,0.011252709038588967,0.27533286801775586
trend,distance_from_252d_high,1263,-0.061029404142046606,-0.015149544974119432,-0.07224513846104015,-0.03141266576806867,0.10353329640183802
breadth,rsp_relative_return_20,1339,-0.005330766166093653,0.0032706333095819384,-0.001856189347621142,-0.0014330364048299668,0.015286810210964206
breadth,sector_positive_participation_5d,1339,0.2222222222222222,0.7777777777777778,0.487511409841507,0.4444444444444444,0.35222689613125535
breadth,sector_return_dispersion_5d,1339,0.010227231496942091,0.015482225064678595,0.01545717157435998,0.012403331817418345,0.010626921751831232
breadth,sector_average_correlation_20d,1339,0.5773285914067935,0.7291770937473867,0.6264325047983078,0.6616358702360613,0.18601134716303191
breadth,sector_volume_breadth,1339,-0.4446527599026145,0.3937650259421886,-0.06493473845281814,-0.007425019341408367,0.8191722555418419
breadth,cyclical_defensive_spread_5d,1339,-0.008922353493574616,0.004815327736137277,-0.0033200465184794123,-0.00243071056452206,0.021679674131943952
rates_credit,tlt_ief_relative_return_5,1339,-0.0027186860349304835,0.006338001537554071,0.0019596879079703993,0.0019276270737015235,0.012793554763979333
rates_credit,hyg_lqd_relative_return_5,1339,-0.0064011456812414925,0.002060381153208373,-0.0030711913433479803,-0.0015450288243508744,0.016877987608134252
rates_credit,hyg_tlt_risk_on_5d,1339,-0.01394612569936481,0.004394375439174515,-0.007130640321349682,-0.004522577974898443,0.03161563265833248
liquidity,relative_volume_20,1339,0.8542342081588382,1.1338321854856181,1.061354668127349,0.9791520234967757,0.400391455806714
liquidity,log_volume_change,1339,-0.13808169459955957,0.12582652495138527,-0.0023508852954733637,-0.017706134307093203,0.3341775685211346
cross_asset,iwm_relative_return_5,1339,-0.007335515288489081,0.00402296951670662,-0.002068023258050958,-0.0013384744894118638,0.01503003355065092
cross_asset,qqq_relative_return_5,1339,-0.0032260922560134603,0.0048047287050006155,0.0003836401985377411,0.0007993184139164845,0.012096499544399111
cross_asset,dxy_return_5d,1336,-0.004192015335694086,0.004852860889655651,0.0005581904980755392,0.00026996874623922535,0.011802596979626311
cross_asset,crude_return_5d,1335,-0.024813552101781194,0.015840008025561268,-0.009722936737376769,-0.004317989386381611,0.06411474404261468
cross_asset,gold_dollar_relative_return_5d,1336,-0.00931999722790475,0.014344945756777111,0.001332512666448472,0.0029308405943739195,0.03421571251405681
cross_asset,futures_cash_confirmation,1337,-0.0005650115177156785,0.0005786594165097091,2.0448742100872725e-05,3.9311101434955694e-05,0.003876387195627146
