target_name,volatility_window,threshold_multiplier,flat_share,median_flat_boundary_percent,flat_share_block_range,screening_roc_auc,screening_neighbor_roc_auc_mean,optimized_roc_auc,bootstrap_auc_lower_95,bootstrap_auc_upper_95,optimized_roc_auc_fold_std,optimized_balanced_accuracy,optimized_flat_precision,optimized_flat_recall,optimized_flat_f1,optimized_move_f1,decision_threshold,sequence_length,embedding_dim,num_blocks,num_heads,epochs
flat_90d_k700,90,0.7,0.591247395058053,0.6258901613641563,0.055059523809523836,0.648652580688482,0.6421970541020049,0.6658652896675032,0.6355128150079615,0.6933554673277563,0.00296873241039432,0.6368425834006999,0.7140902872777017,0.6900198281559815,0.7018487394957983,0.569208353569694,0.5122597813606262,10,64,3,4,3
flat_30d_k725,30,0.725,0.5802322119678476,0.6027345298817599,0.04613095238095233,0.6325334254215642,0.6315769666765103,0.6599663791081342,0.6348927597032425,0.6825824199178816,0.01674390928792994,0.6193144204957127,0.6912704045422285,0.6581081081081082,0.6742817583939079,0.5613053613053613,0.5303356945514679,10,64,1,4,3
flat_40d_k725,40,0.725,0.5864840726406668,0.6167900878076755,0.04166666666666663,0.6330654773599488,0.6334914157509637,0.6542123462611498,0.6255800177019589,0.6815212828740567,0.021791666211529746,0.6127087508350033,0.6827541827541828,0.70875083500334,0.6955096689609964,0.5315179021684316,0.6029232442378998,10,64,1,4,3
flat_40d_k700,40,0.7,0.5695147365287287,0.5955214640901695,0.04761904761904767,0.6335890481508175,0.6313424485612004,0.6445954391880963,0.6211051704696178,0.6706713660011333,0.0144959063249157,0.6202059132946256,0.6896813353566009,0.625171939477304,0.6558441558441559,0.5782493368700266,0.5451314151287079,10,64,1,4,1
flat_60d_k675,60,0.675,0.567728490622209,0.5881196188047589,0.0535714285714286,0.6344317920404877,0.6328961899588573,0.6352385604950335,0.6077953511382007,0.6636154012867936,0.024778553451800748,0.5961114212824032,0.6666666666666666,0.5976535541752933,0.6302765647743813,0.5555555555555556,0.5278257727622986,60,32,3,4,4
flat_90d_k675,90,0.675,0.5757665972015481,0.6035369413154366,0.06101190476190477,0.6378099262252322,0.6400639920663947,0.6325288705084356,0.6048864106850211,0.6617543738637273,0.01888949639705001,0.6032905289641741,0.6746647847565279,0.6485753052917232,0.6613628502248357,0.5431637890807279,0.5772628784179688,10,64,2,4,2
flat_20d_k725,20,0.725,0.5727895206906818,0.6137406952932107,0.04761904761904756,0.6315827622135503,0.6266306247727083,0.6199128273826857,0.5942218516447658,0.6458983003673372,0.05095110860813496,0.6007309686062089,0.6767757382282522,0.5828178694158076,0.6262924667651403,0.5649183147033534,0.4898701608181,60,64,2,8,3
flat_30d_k750,30,0.75,0.591247395058053,0.6235184791880275,0.04166666666666674,0.6359942217653848,0.6336893751599111,0.617794622929444,0.5935064189059948,0.6419561211006853,0.01835335031205512,0.5834561230096242,0.6668905305574211,0.6584880636604774,0.6626626626626627,0.5036818851251841,0.556085616350174,20,64,2,8,2
flat_5d_k775,5,0.775,0.5510568621613575,0.5902775592674542,0.0401785714285714,0.6004522111777849,0.597363031986918,0.6055923915532958,0.5866666114465271,0.6270897636061773,0.01016138962468855,0.5865846349991602,0.6308562197092084,0.570906432748538,0.5993860322333078,0.5700164744645799,0.5160923600196838,40,64,2,4,16
flat_20d_k700,20,0.7,0.5584995534385234,0.5925772230417207,0.05654761904761907,0.624785645116813,0.6263799333921368,0.6088422591754151,0.5847364593776687,0.6316833285665554,0.020155695961335852,0.5855428292920677,0.6420497362471741,0.6021201413427562,0.6214442013129103,0.5471204188481675,0.5347623229026794,10,128,1,4,4
flat_15d_k725,15,0.725,0.5686216135754689,0.6010438020049257,0.04761904761904767,0.6112866868040215,0.6110865492415982,0.6073988677568318,0.5834422566168463,0.6298632424353309,0.025334502431067617,0.5720549118615031,0.6269993602047345,0.6829268292682927,0.6537691794529686,0.4901768172888016,0.5983669757843018,20,64,2,4,2
flat_5d_k800,5,0.8,0.5635605835069961,0.6093187708567268,0.044642857142857206,0.6009484609878311,0.600700336082808,0.6016847325902444,0.581015618144198,0.6233729798590597,0.015903015594620772,0.5770413641476634,0.6306235201262825,0.5719398711524696,0.5998498498498499,0.550210970464135,0.6213493347167969,10,128,3,8,2
flat_15d_k750,15,0.75,0.5811253349211075,0.6217694503499231,0.044642857142857095,0.6129394360165588,0.6100967784017771,0.6012552070491441,0.5753314202908636,0.6235989359869212,0.024992329578565994,0.5711678713712869,0.6468401486988847,0.5938566552901023,0.6192170818505338,0.5188848920863309,0.5483414530754089,20,64,2,4,2
flat_60d_k725,60,0.725,0.5933313486156594,0.6316840350125188,0.05654761904761907,0.6450408701384311,0.6449039166210497,0.6009723137771918,0.5735756117031225,0.6267148923821866,0.027951121162968114,0.5766717205009888,0.6724528301886793,0.5873434410019776,0.6270232230823364,0.5164233576642335,0.5176298022270203,20,128,3,8,2
flat_10d_k800,10,0.8,0.5921405180113128,0.6471360033254343,0.03039395713576032,0.585597779998591,0.5837339607988955,0.5749328754863103,0.5526919799991429,0.5946968007197603,0.013088057527022651,0.5560437503098556,0.638041163946061,0.6057951482479784,0.6215001728309714,0.4885567491826249,0.5396740138530731,20,128,3,8,2
flat_10d_k325,10,0.325,0.282226853230128,0.26289900135095773,0.04276665956993825,0.5860245219470646,0.5871586371000702,0.538444677143326,0.5103720216236711,0.5660757229711658,0.016325009695037904,0.5319062727109333,0.3414179104477612,0.25884016973125884,0.2944489139179405,0.7686626219994724,0.48940669000148773,60,64,1,8,1
