outer_fold,verifier_training_rows,verifier_training_move_share,verifier_optuna_trials,verifier_best_cv_auc,verifier_oof_auc,verifier_threshold,routed_test_rows,verifier_test_auc,verifier_test_balanced_accuracy,stage1_route_move_purity,post_verifier_move_purity,route_purity_lift,true_move_recall_after_verifier,confirmed_direction_rows,confirmed_true_move_up_down_auc,baseline_balanced_accuracy,cascade_balanced_accuracy,delta_balanced_accuracy,baseline_macro_f1,cascade_macro_f1,delta_macro_f1,selective_coverage,selective_balanced_accuracy,selective_macro_f1,baseline_same_sample_balanced_accuracy,baseline_same_sample_macro_f1,selective_true_move_up_down_auc,high_volatility_threshold
1,294,0.5374149659863946,50,0.5525761766256102,0.5096330275229357,0.49260759353637695,498,0.5584415584415584,0.550237960796967,0.4919678714859438,0.532051282051282,0.04008341056533826,0.4811594202898551,312,0.5431442080378251,0.40678499953722014,0.3944693589450188,-0.01231564059220136,0.3845250980051713,0.39185130225057047,0.007326204245399148,0.656934306569343,0.35819350917779674,0.32210687614810163,0.4058806413420825,0.39658169483106637,0.7012987012987013,0.015304471838370817
2,542,0.5202952029520295,50,0.5676178668153976,0.5633370946376883,0.4951712042093277,629,0.5793798038695998,0.5729678484780526,0.4546899841017488,0.511166253101737,0.0564762689999882,0.6261398176291794,403,0.5345643939393939,0.4240585589558162,0.4278838521915513,0.0038252932357351055,0.3665640333150051,0.4199781962089131,0.05341416289390799,0.5547445255474452,0.3823290093943123,0.3747732043460108,0.44362908269281204,0.39728149717960476,0.6923076923076923,0.012778635259787894
3,761,0.5229960578186597,50,0.5827524930537054,0.5591171251109139,0.6056004166603088,289,0.5957066189624329,0.579059829059829,0.5951557093425606,0.6825396825396826,0.08738397319712199,0.27129337539432175,126,0.5745257452574526,0.4639479565389953,0.4139255814201275,-0.05002237511886781,0.4665461126794437,0.41162664223943873,-0.05491947044000495,0.9318734793187348,0.392010840196721,0.3802111947594653,0.45400910248908716,0.45871108625844653,0.6852173913043479,0.01134164335867613
