target_date,actual_up,score,future_log_return,stage1_predicted_move,high_volatility,predicted_up,correct,outer_fold
2010-11-23,0,0.6192055940628052,-0.014582939436894508,True,False,1,False,1
2010-11-24,1,0.7197080850601196,0.014666091871414004,True,False,1,True,1
2010-12-01,1,0.87420654296875,0.02104465366343367,True,False,1,True,1
2010-12-21,1,0.8475766181945801,0.00632028122768749,True,False,1,True,1
2011-01-24,1,0.230704203248024,0.005670664070208581,True,False,0,False,1
2011-01-28,0,0.3054031431674957,-0.01761718927405389,True,False,0,True,1
2011-01-31,1,0.9457868337631226,0.007488268048510469,True,False,1,True,1
2011-02-01,1,0.00890264566987753,0.015882014747780775,True,False,0,False,1
2011-02-11,1,0.9920814037322998,0.00595257201654703,True,False,1,True,1
2011-02-16,1,0.9993932247161865,0.006295543499705147,True,False,1,True,1
2011-02-23,0,0.4636738896369934,-0.006163211746435969,True,False,1,False,1
2011-02-25,1,0.0052782087586820126,0.010636043322289847,True,False,0,False,1
2011-02-28,1,6.274375482462347e-05,0.006177449798552023,True,False,0,False,1
2011-03-03,1,0.9539902806282043,0.017077598345467793,True,False,1,True,1
2011-03-07,0,0.37349438667297363,-0.007881879144340674,True,False,1,False,1
2011-03-08,1,0.23270265758037567,0.008711915857417783,True,False,0,False,1
2011-03-10,0,0.3336351215839386,-0.018679283098206725,True,False,1,False,1
2011-03-11,1,0.0017321776831522584,0.006902350439859637,True,False,0,False,1
2011-03-14,0,0.5062980055809021,-0.006056159320269047,True,False,1,False,1
2011-03-15,0,0.9918373227119446,-0.011523312921841292,True,False,1,False,1
2011-03-16,0,0.8976181745529175,-0.018686241077615323,True,False,1,False,1
2011-03-17,1,0.9989655017852783,0.013148228441042051,True,False,1,True,1
2011-03-21,1,0.022412847727537155,0.015378969497287495,True,False,0,False,1
2011-03-24,1,0.9990158081054688,0.00951795829774732,True,False,1,True,1
2011-03-29,1,0.0061575016006827354,0.006696151143217117,True,False,0,False,1
2011-04-12,0,0.054301004856824875,-0.007502065749284654,True,False,0,True,1
2011-04-18,0,0.9533286690711975,-0.011271983621468707,True,False,1,False,1
2011-04-19,1,0.9992172718048096,0.005728048761922306,True,False,1,True,1
2011-04-20,1,0.9244807362556458,0.013539849979458639,True,False,1,True,1
2011-05-05,0,0.10401889681816101,-0.0090896260574921,True,False,0,True,1
2011-05-10,1,0.0055768489837646484,0.0084999507437913,True,False,0,False,1
2011-05-13,0,0.9991312623023987,-0.007728996292128419,True,False,1,False,1
2011-05-16,0,0.9915662407875061,-0.006361514237382823,True,False,1,False,1
2011-05-18,1,0.1511542946100235,0.008896275522450333,True,False,0,False,1
2011-05-23,0,0.9596076607704163,-0.011668766889634,True,False,1,False,1
2011-05-31,1,0.9980242252349854,0.010357377711179271,True,False,1,True,1
2011-06-03,0,0.8952372074127197,-0.009994342882886753,True,False,1,False,1
2011-06-06,0,0.10069055110216141,-0.010637616137775861,True,False,0,True,1
2011-06-09,1,0.18940691649913788,0.007602206791408592,True,False,0,False,1
2011-06-10,0,0.9985867738723755,-0.014007975946590421,True,False,1,False,1
2011-06-14,1,0.2079874873161316,0.012606270353002092,True,False,0,False,1
2011-06-15,0,0.06766227632761002,-0.01794548154718442,True,False,0,True,1
2011-06-21,1,0.995610773563385,0.01361094348212197,True,False,1,True,1
2011-06-22,0,0.4148837625980377,-0.006043709656474322,True,False,1,False,1
2011-06-24,0,0.06515759229660034,-0.011681411413365773,True,False,0,True,1
2011-06-27,1,0.38789287209510803,0.008871539110088738,True,False,1,True,1
2011-06-28,1,0.9982542395591736,0.012968523040000554,True,False,1,True,1
2011-06-29,1,0.6736757755279541,0.008527694305573862,True,False,1,True,1
2011-06-30,1,0.9973024129867554,0.009516992828594329,True,False,1,True,1
2011-07-11,0,0.0731939747929573,-0.01824574939739419,True,False,0,True,1
2011-07-14,0,0.7523291110992432,-0.006926265084537383,True,False,1,False,1
2011-07-19,1,0.9726608991622925,0.01610116918648337,True,False,1,True,1
2011-07-21,1,0.4176505506038666,0.013775853108294189,True,False,1,True,1
2011-07-29,0,0.9783586859703064,-0.006858045597718971,True,False,1,False,1
2011-08-02,0,0.5152834057807922,-0.02587945553195333,True,False,1,False,1
2011-08-04,0,0.045519787818193436,-0.04797410605219454,True,False,0,True,1
2011-08-08,0,0.31229937076568604,-0.06734057403046549,True,False,0,True,1
2011-08-09,1,0.9926794767379761,0.045450506361566,True,True,1,True,1
2011-08-11,1,0.8920808434486389,0.04390567430386801,True,True,1,True,1
2011-08-15,1,0.15127484500408173,0.02094405066518224,True,True,0,False,1
2011-08-18,0,0.8150964975357056,-0.044075765203905146,True,True,1,False,1
2011-08-19,0,0.005867154337465763,-0.01646528708952503,True,True,0,True,1
2011-08-23,1,0.0005727973766624928,0.03238053100952896,True,True,0,False,1
2011-08-25,0,0.94733726978302,-0.015361311166349485,True,True,1,False,1
2011-08-26,1,0.23875293135643005,0.0144293000086114,True,True,0,False,1
2011-09-02,0,0.004292135126888752,-0.02588195859748386,True,True,0,True,1
2011-09-07,1,0.8980357646942139,0.02781705881741318,True,True,1,True,1
2011-09-09,0,0.09607289731502533,-0.0265592965591247,True,True,0,True,1
2011-09-15,1,0.9996837377548218,0.017110031462982917,True,True,1,True,1
2011-09-22,0,0.44940701127052307,-0.03285838920438979,True,True,1,False,1
2011-09-26,1,0.009893522597849369,0.023501795078211662,True,True,0,False,1
2011-09-28,0,0.2783602178096771,-0.020629935026862865,True,True,0,True,1
2011-09-30,0,0.7629911303520203,-0.02530677345236948,True,True,1,False,1
2011-10-03,0,0.008338742889463902,-0.028870583198134143,True,True,0,True,1
2011-10-04,1,0.2845607399940491,0.021686152138976265,True,True,0,False,1
2011-10-10,1,0.90097576379776,0.032898565789152207,True,True,1,True,1
2011-11-16,0,0.9989199638366699,-0.015990107007195373,True,True,1,False,1
2011-11-28,1,0.9871416091918945,0.028555236610433046,True,True,1,True,1
2011-11-30,1,0.93108731508255,0.04032536892293411,True,True,1,True,1
2011-12-20,1,0.47191742062568665,0.02981139092228546,True,True,1,True,1
2012-01-03,1,0.8830695748329163,0.015810606026642245,True,False,1,True,1
2012-03-06,0,0.4864494204521179,-0.014733231512984004,True,False,1,False,1
2012-03-08,1,0.00679192878305912,0.009899914873447515,True,False,0,False,1
2012-03-26,1,0.9329167008399963,0.0139375558596752,True,False,1,True,1
2012-04-09,0,0.9998818635940552,-0.01129462095995572,True,False,1,False,1
2012-04-10,0,0.7203446626663208,-0.016927351249561472,True,False,1,False,1
2012-04-11,1,0.14693127572536469,0.00806164958284261,True,False,0,False,1
2012-04-12,1,0.10362004488706589,0.012981025165336122,True,False,0,False,1
2012-04-13,0,0.06932609528303146,-0.01195965358781548,True,False,0,True,1
2012-04-17,1,0.47779348492622375,0.014703475288866496,True,False,1,True,1
2012-04-19,0,0.5260705351829529,-0.006441591294652862,True,False,1,False,1
2012-04-23,0,0.10221807658672333,-0.008444424521305168,True,False,0,True,1
2012-04-25,1,0.18315543234348297,0.013598798225997724,True,False,0,False,1
2012-04-26,1,0.012056766077876091,0.006944729536737264,True,False,0,False,1
2012-05-04,0,0.5105997323989868,-0.016289952979268458,True,False,1,False,1
2012-05-09,0,0.05792533606290817,-0.005949538524837831,True,False,0,True,1
2012-05-14,0,0.9779797792434692,-0.011122760326664573,True,False,1,False,1
2012-05-15,0,0.004371169954538345,-0.005758133548508667,True,False,0,True,1
2012-05-17,0,0.010975347831845284,-0.014942074823610709,True,False,0,True,1
2012-05-18,0,0.0011459586676210165,-0.008595563981053293,True,False,0,True,1
2012-05-21,1,0.6857311129570007,0.017042143153895094,True,False,1,True,1
2012-05-29,1,0.9472981095314026,0.01203920355045307,True,False,1,True,1
2012-05-30,0,0.9472284913063049,-0.014616417103779963,True,False,1,False,1
2012-06-01,0,0.05470113828778267,-0.025499186098984584,True,False,0,True,1
2012-06-05,1,0.0011584388557821512,0.007543693044012312,True,False,0,False,1
2012-06-06,1,0.3033505380153656,0.022219683685399394,True,False,0,False,1
2012-06-08,1,0.9968187808990479,0.007920109403916804,True,False,1,True,1
