alignment,rows,share,next_day_up_rate,next_day_down_rate,up_rate_lift_vs_overall,down_rate_lift_vs_overall,mean_next_return_pct,median_abs_next_return_pct,mean_normalized_abs_move,mean_dmi_spread
BEARISH,670,0.19562043795620437,0.5656716417910448,0.4343283582089552,0.017934415513672475,-0.017934415513672475,0.04552537014166617,0.9201953578606478,0.8590347748136128,-0.1334136091046623
MIXED,1079,0.31503649635036496,0.5319740500463392,0.46802594995366076,-0.01576317623103307,0.01576317623103307,0.012699053562394876,0.5834326602727022,0.7943941598377383,-0.036659313354807425
BULLISH,1676,0.48934306569343067,0.5507159904534606,0.44928400954653935,0.002978764176088333,-0.002978764176088333,0.02318388809731479,0.38526553149850856,0.8331358179703466,0.08729326625019612
