outer_fold,training_oof_rows,route_aware_training_rows,route_aware_training_down_rows,route_aware_training_flat_rows,route_aware_training_up_rows,test_rows,routed_test_rows,baseline_balanced_accuracy,candidate_balanced_accuracy,delta_balanced_accuracy,baseline_macro_f1,candidate_macro_f1,delta_macro_f1,baseline_down_f1,baseline_flat_f1,baseline_up_f1,candidate_down_f1,candidate_flat_f1,candidate_up_f1,routed_rows,routed_actual_flat_rows,routed_true_move_rows,candidate_false_route_flat_correction_rate,baseline_true_move_direction_accuracy,candidate_true_move_direction_accuracy,candidate_true_move_up_down_auc
1,666,294,71,136,87,822,498,0.40678499953722014,0.3887464895487834,-0.018038509988436757,0.3845250980051713,0.38242337164750956,-0.0021017263576617595,0.19863013698630136,0.5593008739076155,0.3956442831215971,0.25,0.6819923371647509,0.2152777777777778,498,253,245,0.5217391304347826,0.563265306122449,0.2857142857142857,0.5122171317506594
2,1281,542,121,260,161,822,629,0.4240585589558162,0.3835339683099626,-0.040524590645853564,0.3665640333150051,0.3828807128344829,0.016316679519477795,0.3053763440860215,0.43731778425655976,0.35699797160243407,0.2236842105263158,0.6514994829369183,0.2734584450402145,629,343,286,0.48104956268221577,0.5559440559440559,0.2972027972027972,0.4861008245691997
3,1902,761,163,363,235,822,289,0.4639479565389953,0.4075758423299957,-0.05637211420899957,0.4665461126794437,0.40110763934364885,-0.06543847333579483,0.31970260223048325,0.7475915221579962,0.3323442136498516,0.14736842105263157,0.7731958762886598,0.2827586206896552,289,117,172,0.5299145299145299,0.5755813953488372,0.31976744186046513,0.4442934782608696
