family,feature,validation_block,rows,mean,median,std,q25,q75,development_mean,development_median,development_std,development_q33,development_q67,mean_z_vs_development,median_z_vs_development
volatility,target_rolling_volatility,1,110,0.009640876466648705,0.009608107667760556,0.0018504537969723314,0.008061280847186688,0.011518981160766717,0.010764607663932715,0.008711663414476132,0.006564040244525251,0.007508774038135087,0.011021775577374217,-0.17119504991171552,0.1365689757968966
volatility,target_rolling_volatility,2,110,0.011839950687500224,0.011922187639032232,0.0034069045621656167,0.008706728004904397,0.015760074443338982,0.010764607663932715,0.008711663414476132,0.006564040244525251,0.007508774038135087,0.011021775577374217,0.16382334408513113,0.48910794342460706
volatility,target_rolling_volatility,3,110,0.012271701610913302,0.013125154875144693,0.003191250425824086,0.009234176573874098,0.01526809131008767,0.010764607663932715,0.008711663414476132,0.006564040244525251,0.007508774038135087,0.011021775577374217,0.22959852329326916,0.6723742232308282
volatility,realized_volatility_20,1,110,0.009203842011967304,0.008969057493990292,0.003038939194891914,0.00661693474353131,0.011500294923959183,0.011388973250014695,0.00893223723553496,0.009118526699934999,0.006863125753346404,0.011395504790688134,-0.23963643579208552,0.004037961357901619
volatility,realized_volatility_20,2,110,0.01303298898654708,0.012376524808140499,0.0038954180518311994,0.01054912537694009,0.015059874227116144,0.011388973250014695,0.00893223723553496,0.009118526699934999,0.006863125753346404,0.011395504790688134,0.1802940091784899,0.37772413087632795
volatility,realized_volatility_20,3,110,0.010940103724553441,0.010406012297257981,0.003927719596709477,0.007391552236504093,0.014718782425222784,0.011388973250014695,0.00893223723553496,0.009118526699934999,0.006863125753346404,0.011395504790688134,-0.0492261020044448,0.16162425249393925
volatility,realized_volatility_40,1,110,0.009181119103688594,0.008564987522456475,0.0025629330923980873,0.007015383820651735,0.011108348298102321,0.011100977602969856,0.008652964238366506,0.008068366317179361,0.0072548708989772625,0.011008104809655766,-0.2379488515777293,-0.01090390699325448
volatility,realized_volatility_40,2,110,0.012764340843396777,0.012693538856756784,0.0035328965680185586,0.009985047570397318,0.015018960831250783,0.011100977602969856,0.008652964238366506,0.008068366317179361,0.0072548708989772625,0.011008104809655766,0.2061586168795097,0.5007921628182633
volatility,realized_volatility_40,3,110,0.011215576050432628,0.010774325168952898,0.0036424314545284112,0.007937216154841279,0.014484672505422787,0.011100977602969856,0.008652964238366506,0.008068366317179361,0.0072548708989772625,0.011008104809655766,0.014203426438232778,0.26292322970878734
volatility,vix_level,1,110,22.962272696061568,21.989999771118164,5.296438075986626,18.809999465942383,25.739999771118164,21.49540702757148,18.229999542236328,11.129456291268216,15.890000343322754,21.68000030517578,0.13180029914317903,0.3378422207230196
volatility,vix_level,2,110,24.548000058260833,23.920000076293945,4.681617430967866,21.015000343322754,28.360000610351562,21.49540702757148,18.229999542236328,11.129456291268216,15.890000343322754,21.68000030517578,0.2742805174664561,0.5112559306712758
volatility,vix_level,3,110,20.770000024275348,19.72000026702881,5.298960666543062,16.90999937057495,24.079999923706055,21.49540702757148,18.229999542236328,11.129456291268216,15.890000343322754,21.68000030517578,-0.06517901542641062,0.13387902210115002
volatility,vvix_level,1,110,117.26254549893466,115.93499755859375,11.69211783888732,108.7649974822998,121.18000221252441,93.87067213906023,91.69999694824219,17.330524632584062,85.68000030517578,98.16999816894531,1.3497498694236925,1.3983997094228768
volatility,vvix_level,2,110,114.35790980945934,114.47500228881836,17.57056941896133,104.62000274658203,126.06250190734863,93.87067213906023,91.69999694824219,17.330524632584062,85.68000030517578,98.16999816894531,1.1821475751449522,1.3141555621320111
volatility,vvix_level,3,110,91.27609093405984,89.90499877929688,9.947148255926097,84.62749862670898,95.94750213623047,93.87067213906023,91.69999694824219,17.330524632584062,85.68000030517578,98.16999816894531,-0.1497116365492007,-0.10357436990513483
volatility,vix_vix3m_ratio,1,110,0.8830623993258887,0.866404493764555,0.06330190278698708,0.8388749307075893,0.9149770283204046,0.9386318369880065,0.9259927536822328,0.09894231500123496,0.8893158717352782,0.9638157973851965,-0.5616347026186335,-0.6022525338823338
volatility,vix_vix3m_ratio,2,110,0.9048399193210901,0.9170394935687858,0.061771001923451176,0.8497628950491372,0.9558277806310904,0.9386318369880065,0.9259927536822328,0.09894231500123496,0.8893158717352782,0.9638157973851965,-0.3415315041546641,-0.09048969708597622
volatility,vix_vix3m_ratio,3,110,0.9067504955547891,0.9043904788978423,0.05189653063107902,0.8701650084712967,0.9454899943850904,0.9386318369880065,0.9259927536822328,0.09894231500123496,0.8893158717352782,0.9638157973851965,-0.3222215028304055,-0.21833201279069367
volatility,implied_realized_ratio_20,1,110,1.6748865068135386,1.6623643338137182,0.4237464403282334,1.3424088110072736,2.007553534228621,1.3846366674652768,1.3278081684311671,0.43286314567596984,1.1523902524316385,1.5091099711565616,0.6705348844032457,0.7728913138587944
volatility,implied_realized_ratio_20,2,110,1.276592740047644,1.1719654777131483,0.41685896687146745,1.0232450320423812,1.3426269407249678,1.3846366674652768,1.3278081684311671,0.43286314567596984,1.1523902524316385,1.5091099711565616,-0.24960297150941024,-0.36002762599401017
volatility,implied_realized_ratio_20,3,110,1.2601930684020306,1.2404276492234203,0.23493283418772498,1.0874539901188265,1.409195275218621,1.3846366674652768,1.3278081684311671,0.43286314567596984,1.1523902524316385,1.5091099711565616,-0.2874894763076029,-0.2018663868260053
trend,close_vs_sma_50,1,110,0.016705331404409565,0.018981206870219647,0.024058220215887077,0.0008733806564323321,0.03316979547889426,-0.005904548366650258,0.004469791579019278,0.049660127002256076,-0.011659604569938642,0.017635922820685934,0.4552924274646468,0.2922146230222309
trend,close_vs_sma_50,2,110,-0.012698882349658634,-0.006451863987385897,0.040445658997203975,-0.04374096891526438,0.018051615298246337,-0.005904548366650258,0.004469791579019278,0.049660127002256076,-0.011659604569938642,0.017635922820685934,-0.1368166856017043,-0.21992806353292252
trend,close_vs_sma_50,3,110,0.002772441612172512,0.009114038299415261,0.03932218527180516,-0.017140130862847824,0.031988889147602395,-0.005904548366650258,0.004469791579019278,0.049660127002256076,-0.011659604569938642,0.017635922820685934,0.17472750277961574,0.09352063719420198
trend,ma_alignment_score,1,110,0.5454545454545454,1.0,0.655554777357089,0.0,1.0,0.1179985063480209,0.0,0.8057653698286464,0.0,1.0,0.5304969102822414,1.2410560660017684
trend,ma_alignment_score,2,110,-0.09090909090909091,0.0,0.7573332945330374,-1.0,0.0,0.1179985063480209,0.0,0.8057653698286464,0.0,1.0,-0.25926604080979304,0.0
trend,ma_alignment_score,3,110,0.17272727272727273,0.0,0.7846144497208446,0.0,1.0,0.1179985063480209,0.0,0.8057653698286464,0.0,1.0,0.06792146749976412,0.0
trend,adx_14,1,110,20.095597852239656,19.9529369928112,5.733917887196953,14.787032170219097,25.789690190247214,23.699361549273707,22.342718550849742,8.428310453951523,18.910488927718188,26.13796707481211,-0.4275784235432933,-0.283542184533333
trend,adx_14,2,110,24.228756240038976,24.780188464830353,5.738932804819456,19.0462784099047,28.43553129139788,23.699361549273707,22.342718550849742,8.428310453951523,18.910488927718188,26.13796707481211,0.0628114844199964,0.28920030026158194
trend,adx_14,3,110,22.31731881660618,20.12698415842997,7.7653459345572475,16.034657998006814,27.790408747786948,23.699361549273707,22.342718550849742,8.428310453951523,18.910488927718188,26.13796707481211,-0.16397624888385223,-0.26289188141864767
trend,signed_trend_efficiency_20,1,110,0.10870431064304437,0.10843387374098967,0.2204169180502676,-0.03212540074785452,0.23708669618722603,0.03202053212851063,0.011252709038588967,0.27533286801775586,-0.11594124957373968,0.1462529679148449,0.27851298345386244,0.3529588218146684
trend,signed_trend_efficiency_20,2,110,-0.025895007325130174,-0.056972110992129794,0.254467358061521,-0.20919783865210928,0.11260539090912017,0.03202053212851063,0.011252709038588967,0.27533286801775586,-0.11594124957373968,0.1462529679148449,-0.21034735108307487,-0.247790322026933
trend,signed_trend_efficiency_20,3,110,0.028890779378796198,0.031166761460385564,0.26905954811676164,-0.22550404680102967,0.25242512856406224,0.03202053212851063,0.011252709038588967,0.27533286801775586,-0.11594124957373968,0.1462529679148449,-0.011367159948054581,0.07232718914079073
trend,distance_from_252d_high,1,110,-0.02363623182416778,-0.01458437307520899,0.024243822737805953,-0.03639711359929851,-0.005342677330332751,-0.07224513846104015,-0.03141266576806867,0.10353329640183802,-0.061029404142046606,-0.015149544974119432,0.46950023157969706,0.1625399101323401
trend,distance_from_252d_high,2,110,-0.08774069268028169,-0.08275939191244241,0.06313938180161478,-0.13769857172161218,-0.03099451009770557,-0.07224513846104015,-0.03141266576806867,0.10353329640183802,-0.061029404142046606,-0.015149544974119432,-0.14966735106259443,-0.49594408686732583
trend,distance_from_252d_high,3,110,-0.11593812823548888,-0.13200084368824,0.08070282698984181,-0.18607523597924847,-0.034012113283633044,-0.07224513846104015,-0.03141266576806867,0.10353329640183802,-0.061029404142046606,-0.015149544974119432,-0.42201872530809376,-0.9715539002038922
breadth,rsp_relative_return_20,1,110,0.008269686500524925,0.008632895169008534,0.018263059298534928,-0.002319915526739511,0.019624559143155283,-0.001856189347621142,-0.0014330364048299668,0.015286810210964206,-0.005330766166093653,0.0032706333095819384,0.662392985090078,0.6584716781934588
breadth,rsp_relative_return_20,2,110,0.0026294637662486815,0.004829226882658409,0.01475654877743926,-0.009573769811296996,0.014682955597939695,-0.001856189347621142,-0.0014330364048299668,0.015286810210964206,-0.005330766166093653,0.0032706333095819384,0.29343290405035344,0.4096514054316494
breadth,rsp_relative_return_20,3,110,-0.0042312678980624,-0.0013766687622263464,0.017605495415621127,-0.012471436438893573,0.006896440831488743,-0.001856189347621142,-0.0014330364048299668,0.015286810210964206,-0.005330766166093653,0.0032706333095819384,-0.15536783133068355,0.0036873384195737335
breadth,sector_positive_participation_5d,1,110,0.496969696969697,0.4444444444444444,0.3170108322575035,0.2222222222222222,0.7777777777777778,0.487511409841507,0.4444444444444444,0.35222689613125535,0.2222222222222222,0.7777777777777778,0.026852824790147334,0.0
breadth,sector_positive_participation_5d,2,110,0.4787878787878788,0.4444444444444444,0.3598058631501561,0.1111111111111111,0.8888888888888888,0.487511409841507,0.4444444444444444,0.35222689613125535,0.2222222222222222,0.7777777777777778,-0.024766794215446256,0.0
