candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
calendar,calendar,1,30,3368,2007-06-08,2020-10-26,0.5951565658915932,0.6085387355804779,-0.013382169688884726,0.008387029871632633,0.5713814819985419,0.5030800821355236,0.46934865900383144,0.48562933597621405,0.5344057193923145,-0.048776383416100466,0.6578773895847067,0.24147170097855009
calendar+technical_dynamics+volatility_options_core,calendar|technical_dynamics|volatility_options_core,3,65,3301,2007-06-08,2020-10-26,0.5799031118587048,0.5933476871320437,-0.013444575273338866,0.029869412551928962,0.5673927670311185,0.49014084507042255,0.5092682926829268,0.4995215311004785,0.48807157057654077,0.011449960523937708,0.6342657342657343,0.24856101329799862
equity_rotation+futures_core+futures_smallcap+interaction_consensus+trend_direction,equity_rotation|futures_core|futures_smallcap|interaction_consensus|trend_direction,5,79,824,2017-07-18,2020-10-26,0.5144201578627808,0.528178940064186,-0.01375878220140514,0.06015811997835407,0.532136351808483,0.43870967741935485,0.5396825396825397,0.48398576512455516,0.4484848484848485,0.03550091663970667,0.56973293768546,0.27548622695082475
equity_rotation+futures_core+volatility_options_core,equity_rotation|futures_core|volatility_options_core,3,55,3295,2007-06-08,2020-10-26,0.5932731139530765,0.6073693703194439,-0.014096256366367466,0.016550000887872427,0.5720432135570671,0.5151869158878505,0.4310850439882698,0.46939861628525814,0.5386715195632393,-0.06927290327798119,0.6740764955867931,0.24677908416294023
futures_smallcap,futures_smallcap,1,29,824,2017-07-18,2020-10-26,0.5140406800242866,0.528178940064186,-0.014138260039899375,0.036607952527303846,0.5110915951079885,0.4200743494423792,0.44841269841269843,0.43378119001919385,0.4484848484848485,-0.014703658465654634,0.5874125874125874,0.2640981985384899
technical_dynamics+volatility_options_core,technical_dynamics|volatility_options_core,2,56,3301,2007-06-08,2020-10-26,0.5788302775441548,0.5933476871320437,-0.01451740958788883,0.006081663625856928,0.5576282590412112,0.48512820512820515,0.46146341463414636,0.473,0.48807157057654077,-0.015071570576540794,0.6427118644067796,0.24490279420817204
calendar+futures_smallcap+volatility_options_core,calendar|futures_smallcap|volatility_options_core,3,52,786,2017-07-18,2020-10-26,0.5345910433367489,0.5495268519076608,-0.014935808570911924,0.03814657016847219,0.5506539690193478,0.4522058823529412,0.5234042553191489,0.48520710059171596,0.4612159329140461,0.023991167677669845,0.6098654708520179,0.2670435236986499
calendar+flat_regime_state+volatility_options_core,calendar|flat_regime_state|volatility_options_core,3,77,3072,2007-06-11,2020-10-26,0.5743565997270423,0.5897015724467469,-0.015344972719704586,0.0166897689716304,0.5584491546667409,0.47771836007130125,0.5548654244306418,0.5134099616858238,0.5118577075098815,0.0015522541759422914,0.5968253968253968,0.24931299587893552
interaction_consensus+technical_dynamics,interaction_consensus|technical_dynamics,2,54,3364,2007-06-08,2020-10-26,0.5998138934501122,0.6159656998889322,-0.016151806438820082,0.00791189859790254,0.5749555145729464,0.5083160083160083,0.4692898272552783,0.4880239520958084,0.5485307212822796,-0.06050676918647124,0.6627218934911243,0.24333030068612066
equity_rotation+futures_core+trend_direction,equity_rotation|futures_core|trend_direction,3,59,3151,2008-04-10,2020-10-26,0.579987697050998,0.5963665537661105,-0.016378856715112522,0.019341249665162673,0.5646104930814441,0.4813753581661891,0.5195876288659794,0.4997521070897372,0.5344906349931475,-0.03473852790341031,0.6269870609981516,0.24475192082175276
breadth+equity_rotation+futures_smallcap+technical_dynamics+trend_direction,breadth|equity_rotation|futures_smallcap|technical_dynamics|trend_direction,5,93,824,2017-07-18,2020-10-26,0.5117638129933212,0.528178940064186,-0.016415127070864788,0.07621554864825066,0.517824616185272,0.4297520661157025,0.4126984126984127,0.42105263157894735,0.4484848484848485,-0.02743221690590114,0.6145552560646901,0.2692139634598993
