candidate_name,groups,status,feature_count,training_rows,training_start,training_end,matched_base_roc_auc,delta_roc_auc_vs_matched_base,decision_threshold,stage2_roc_auc,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,oof_move_rows
calendar+equity_rotation+futures_core+interaction_consensus+volatility_options_core,"['calendar', 'equity_rotation', 'futures_core', 'interaction_consensus', 'volatility_options_core']",ok,77,2592,2007-08-20,2018-02-02,0.4935963182117028,0.008619329388560137,0.44959504902362823,0.5022156476002629,0.5688091042932711,0.26602985742734614,0.5082117028270874,0.5079755475063061,0.426179604261796,0.5897714907508161,0.4971968778938007,0.009399616447327551,788
calendar+equity_rotation+futures_core+rates_credit,"['calendar', 'equity_rotation', 'futures_core', 'rates_credit']",ok,67,2627,2007-08-20,2018-02-02,0.49427824718987085,0.008512851741899474,0.5075295269489288,0.5027910989317703,0.5601921448661078,0.26686590203380867,0.5228743244271904,0.5193399174896862,0.49473684210526314,0.5439429928741093,0.5028718760315026,0.013362390802321926,801
calendar+equity_rotation+technical_dynamics+trend_direction,"['calendar', 'equity_rotation', 'technical_dynamics', 'trend_direction']",ok,80,2472,2008-04-10,2018-02-02,0.5107050974578119,0.008277736595008633,0.5112307965755463,0.5189828340528205,0.5704825251845067,0.25699365302107374,0.5379765694268812,0.5330832641177469,0.5118881118881119,0.5542784163473818,0.5155481866972578,0.020434430667551157,749
calendar+rates_credit+volatility_options_core,"['calendar', 'rates_credit', 'volatility_options_core']",ok,61,2598,2007-08-20,2018-02-02,0.4910656015871774,0.007596522828725694,0.4751201570034027,0.4986621244159031,0.5669236874142367,0.2603782017551636,0.5176991150442478,0.5150947674272134,0.40842787682333875,0.6217616580310881,0.4996945840499069,0.007854860032498643,791
calendar+futures_core+macro_cross_asset+rates_credit+trend_direction+volatility_options_core,"['calendar', 'futures_core', 'macro_cross_asset', 'rates_credit', 'trend_direction', 'volatility_options_core']",ok,97,2429,2008-04-10,2018-02-02,0.511394307446939,0.007008342534658318,0.4673229902982712,0.5184026499815974,0.5802249669006856,0.26464846369376116,0.5246902220586431,0.523983338751471,0.46986089644513135,0.5781057810578106,0.5149379640805826,0.005375077612289132,730
breadth+equity_rotation+futures_core+rates_credit,"['breadth', 'equity_rotation', 'futures_core', 'rates_credit']",ok,73,2627,2007-08-20,2018-02-02,0.49427824718987085,0.0067811017228693315,0.4737839996814728,0.5010593489127402,0.560408428984014,0.26385350756516285,0.5255004947857198,0.5243527711449039,0.4821917808219178,0.5665137614678899,0.49987255522015633,0.04168478723181153,801
breadth+calendar+equity_rotation+rates_credit,"['breadth', 'calendar', 'equity_rotation', 'rates_credit']",ok,72,2633,2007-08-20,2018-02-02,0.482387020559996,0.006566380133715355,0.4647166430950165,0.48895340069371135,0.5727481905720242,0.26352343761049113,0.5002670537374956,0.49792960662525876,0.39751552795031053,0.598343685300207,0.4852651270713273,0.03847474171053118,805
interaction_consensus+technical_dynamics,"['interaction_consensus', 'technical_dynamics']",ok,55,2629,2007-08-20,2018-02-02,0.4966401414677277,0.006498673740052974,0.484968826174736,0.5031388152077807,0.5690364024941515,0.2645127174133137,0.5124636857395478,0.5065118069177861,0.4936061381074169,0.5194174757281553,0.503875258474091,0.02709489989863558,803
calendar+equity_rotation+futures_core+technical_dynamics,"['calendar', 'equity_rotation', 'futures_core', 'technical_dynamics']",ok,72,2627,2007-08-20,2018-02-02,0.49427824718987085,0.006311689629798833,0.4752955436706543,0.5005899368196697,0.5666447334228573,0.26138892968256694,0.5137398188323057,0.5132182571815697,0.431784107946027,0.5946524064171123,0.49413640522268115,0.03244439829398568,801
equity_rotation+futures_core+rates_credit+technical_dynamics,"['equity_rotation', 'futures_core', 'rates_credit', 'technical_dynamics']",ok,79,2627,2007-08-20,2018-02-02,0.49427824718987085,0.00609601380325292,0.4976125955581665,0.5003742609931238,0.5626926830761931,0.2564576058739823,0.511760675953414,0.511579128835766,0.4365781710914454,0.5865800865800865,0.49864549037086864,0.010410949626016068,801
