feature,direction,predictive_auc,fold_predictive_auc_mean,fold_predictive_auc_std,move_rows,start_date,end_date
day_of_week_cos,positive,0.5077439883555886,0.5212417233550286,0.009222516297032189,1980,2007-06-08,2020-10-26
es_nq_dispersion_5d,negative,0.5146877682803928,0.5207127884971509,0.02203903417987713,1977,2007-06-08,2020-10-26
vix_change_5,positive,0.5072462269895206,0.5205319615657537,0.007684475493636359,1980,2007-06-08,2020-10-26
skew_level,positive,0.507918012678062,0.5203129499904227,0.022993805092327586,1965,2007-06-08,2020-10-26
return_10d,negative,0.5056076978821107,0.5200029365218307,0.013341459449887273,1980,2007-06-08,2020-10-26
iwm_qqq_relative_return_1d,negative,0.521083269325598,0.5198459719133364,0.016400100962200344,1980,2007-06-08,2020-10-26
dia_relative_return,positive,0.5002558586461098,0.5198105089464707,0.011614910551669619,1980,2007-06-08,2020-10-26
sma_10_50_spread,positive,0.5147348735851534,0.5196260575712582,0.013379367178568679,1980,2007-06-08,2020-10-26
es_return_1d,negative,0.5219717781700355,0.5195275311994312,0.009828601566425283,1978,2007-06-08,2020-10-26
ma_alignment_score,positive,0.5099707339059742,0.519251876101936,0.012601665990351523,1980,2007-06-08,2020-10-26
signed_return_streak,negative,0.5240961987158481,0.5191279993324585,0.025562688987122835,1980,2007-06-08,2020-10-26
sma_20_50_spread,positive,0.5167331554555783,0.5191041417764376,0.01432274302304107,1980,2007-06-08,2020-10-26
sector_volume_breadth,negative,0.5216797559470336,0.5189138350089929,0.012424005758920659,1980,2007-06-08,2020-10-26
stochastic_14,negative,0.5096745581398714,0.5188246422258236,0.018806177027666314,1980,2007-06-08,2020-10-26
adx_14,negative,0.5016183705474134,0.5185384973599009,0.006745974983745479,1980,2007-06-08,2020-10-26
futures_cash_confirmation,positive,0.5157310493995972,0.5182755158115905,0.010110857933904264,1978,2007-06-08,2020-10-26
sector_return_dispersion_5d,negative,0.5355323048677236,0.5180640134619358,0.006274558997029661,1980,2007-06-08,2020-10-26
realized_volatility_40,negative,0.5210109052640719,0.5177404877457107,0.0070255581338591715,1980,2007-06-08,2020-10-26
sma_10_slope_5,negative,0.5019564140919706,0.5176214635966891,0.013794986715265684,1980,2007-06-08,2020-10-26
nq_return_5d,negative,0.5075408823029293,0.5176058207015396,0.006471861369967492,1977,2007-06-08,2020-10-26
breadth_momentum_interaction,positive,0.5083823427554788,0.5176011506182444,0.0044960818814882165,1980,2007-06-08,2020-10-26
turn_of_month_flag,positive,0.5006864248121894,0.5175773144953046,0.008930076780220697,1980,2007-06-08,2020-10-26
gld_return,negative,0.5098239382383073,0.5175747362853501,0.014092667712062452,1980,2007-06-08,2020-10-26
gold_dollar_relative_return_5d,positive,0.5054060443183657,0.5175492800612984,0.015496290182249902,1977,2007-06-08,2020-10-26
crude_return_1d,negative,0.5167229791099002,0.5175380992231561,0.004516309078960787,1976,2007-06-08,2020-10-26
qqq_relative_return,positive,0.505015346349905,0.5174874403333517,0.005479882953860863,1980,2007-06-08,2020-10-26
day_of_week_sin,positive,0.516291217794116,0.5170592367166796,0.010371755683226016,1980,2007-06-08,2020-10-26
gld_return_5,positive,0.5036166524178384,0.5169931158161053,0.017007028387467198,1980,2007-06-08,2020-10-26
return_5d,negative,0.5064269624358156,0.5167127824760884,0.0025981571103615014,1980,2007-06-08,2020-10-26
ma_5_10_20_50_alignment_score,positive,0.5060279263251152,0.5163767797856412,0.010357596234613357,1980,2007-06-08,2020-10-26
realized_volatility_10,negative,0.5124915876778476,0.5160627081868739,0.008835665619085125,1980,2007-06-08,2020-10-26
nq_es_relative_return_1d,negative,0.5024768167466376,0.5160362257037711,0.012914288618602077,1978,2007-06-08,2020-10-26
qqq_dia_relative_return_1d,positive,0.5063292709527556,0.5159929161154464,0.008324264304547111,1980,2007-06-08,2020-10-26
directional_consensus_20,positive,0.5047036639991895,0.5156282582421959,0.005462859267110237,1980,2007-06-08,2020-10-26
lower_low_share_5,positive,0.5175958384461988,0.51560694498541,0.0033508273702452665,1980,2007-06-08,2020-10-26
third_friday_flag,positive,0.5026971119503045,0.5153726082553582,0.005846445105106263,1980,2007-06-08,2020-10-26
hyg_return_5,positive,0.5060356796174215,0.514629824676248,0.013803148844829178,1980,2007-06-08,2020-10-26
implied_realized_ratio_20,positive,0.5198241346550456,0.5145647547136444,0.007533929833708799,1980,2007-06-08,2020-10-26
skew_change_5,negative,0.5151657899975621,0.5142513484274439,0.01736803612428173,1952,2007-06-08,2020-10-26
iwm_relative_return,negative,0.5169874634432268,0.5140616172300695,0.011903981721280297,1980,2007-06-08,2020-10-26
realized_volatility_5,negative,0.5125753232347563,0.5138506344748813,0.007051932086591971,1980,2007-06-08,2020-10-26
signed_trend_efficiency_20,positive,0.5040156885285388,0.5137102211221747,0.0059177440919962005,1980,2007-06-08,2020-10-26
implied_realized_spread_20,positive,0.5207638336825761,0.5135204369159863,0.005327459728676006,1980,2007-06-08,2020-10-26
hyg_tlt_risk_on_5d,negative,0.511062914348863,0.5134727239451601,0.016433511040654537,1980,2007-06-08,2020-10-26
cyclical_defensive_spread_1d,negative,0.5157262612280595,0.5134613483300053,0.00872827011742938,1980,2007-06-08,2020-10-26
sma_20_slope_5,positive,0.5069288588911138,0.5133328410587713,0.010802310607631246,1980,2007-06-08,2020-10-26
qqq_relative_return_5,negative,0.5019398737350503,0.5131448016937056,0.008705903422064284,1980,2007-06-08,2020-10-26
vix9d_change,positive,0.5060982186883629,0.5129557793869067,0.00852985129314777,1456,2011-01-05,2020-10-26
crude_return_5d,positive,0.5009528999610743,0.51292351898688,0.008864863115587074,1976,2007-06-08,2020-10-26
vix3m_level,negative,0.5144686772159685,0.5125607515102579,0.00726913874010537,1980,2007-06-08,2020-10-26
month_end_flag,negative,0.5013671638766876,0.512439430337544,0.007977185550306324,1980,2007-06-08,2020-10-26
sector_average_correlation_20d,positive,0.5041635179685133,0.512265566912102,0.00564614919749315,1980,2007-06-08,2020-10-26
quarter_end_flag,positive,0.506089952663566,0.512151080641564,0.00502006679055489,1980,2007-06-08,2020-10-26
es_return_5d,negative,0.5077129964872117,0.5119131662524096,0.003986752976540701,1977,2007-06-08,2020-10-26
return_20d,positive,0.5068182452542098,0.5118717699008416,0.0045181294238178255,1980,2007-06-08,2020-10-26
vix3m_change,positive,0.5222529826915502,0.5116958310654424,0.007366425086666084,1980,2007-06-08,2020-10-26
trend_efficiency_20,positive,0.5081972975124337,0.510811132489274,0.006875721068728905,1980,2007-06-08,2020-10-26
macd_histogram_change,negative,0.5178330891907733,0.5101888009431889,0.0037788660321559186,1980,2007-06-08,2020-10-26
close_vs_sma_5,negative,0.5101459583120979,0.5101267330933635,0.00787032839694911,1980,2007-06-08,2020-10-26
higher_high_share_5,positive,0.5015785703135741,0.5101224839651436,0.005261609679204776,1980,2007-06-08,2020-10-26
return_2d,negative,0.515944387184945,0.5099996708414385,0.008571435249733585,1980,2007-06-08,2020-10-26
month_sin,positive,0.5051373314821916,0.5099961332559428,0.007598491249998722,1980,2007-06-08,2020-10-26
dia_relative_return_5,positive,0.5014126498582182,0.5098585714515836,0.007138434913199062,1980,2007-06-08,2020-10-26
hyg_lqd_relative_return_5,negative,0.5106566418320099,0.5097372166527158,0.006672856966019057,1980,2007-06-08,2020-10-26
sector_correlation_change_5,negative,0.5024381519872723,0.509735357714786,0.0035565020572400487,1980,2007-06-08,2020-10-26
close_location_value,negative,0.5220017760208243,0.5095788369098672,0.005824325306754386,1980,2007-06-08,2020-10-26
nq_es_relative_return_5d,negative,0.5014826703826741,0.5091810778248658,0.006754476411519095,1977,2007-06-08,2020-10-26
qqq_dia_relative_return_5d,negative,0.5027596551749091,0.5084597250004339,0.006697615364974991,1980,2007-06-08,2020-10-26
vix_term_inversion,positive,0.5098157051282051,0.5075368764917283,0.005210198924900587,1456,2011-01-05,2020-10-26
vxn_change,positive,0.5040022494885411,0.5075256425505182,0.004318334332964734,1980,2007-06-08,2020-10-26
risk_on_score_20,negative,0.507230720404908,0.5070706112702935,0.005139211336421035,1980,2007-06-08,2020-10-26
return_3d,negative,0.5036476655870639,0.5045273212515098,0.0022153741403539116,1980,2007-06-08,2020-10-26
ma_compression,negative,0.5019109281104399,0.5044192789076183,0.004264021738493783,1980,2007-06-08,2020-10-26
vxn_vix_ratio,negative,0.5067872320849844,0.5043393276861418,0.001143727628639416,1980,2007-06-08,2020-10-26
gap_intraday_interaction,positive,0.5027612058333704,0.5042664056797268,0.004767790334589518,1980,2007-06-08,2020-10-26
