outer_fold,regime_feature,regime_quantile,regime_threshold,training_move_rows,training_high_rows,test_move_rows,test_high_rows,test_high_coverage,universal_auc,specialist_auc,delta_auc,universal_decision_threshold,specialist_decision_threshold,specialist_threshold_oof_rows,universal_balanced_accuracy,specialist_balanced_accuracy,universal_macro_f1,specialist_macro_f1,universal_sign_accuracy,specialist_sign_accuracy,universal_magnitude_weighted_sign_accuracy,specialist_magnitude_weighted_sign_accuracy
1,realized_volatility_20,0.6666666666666666,0.015304471838370817,346,115,345,47,0.13623188405797101,0.6282051282051283,0.5934065934065934,-0.0347985347985349,0.3204227089881897,0.9945215582847595,106,0.5311355311355311,0.5576923076923077,0.53,0.42652519893899205,0.5319148936170213,0.5106382978723404,0.5527472469425146,0.5644366726831717
2,realized_volatility_20,0.6666666666666666,0.012778635259787894,691,230,329,34,0.1033434650455927,0.5259515570934257,0.35986159169550175,-0.16608996539792392,0.5388480722904205,0.5060148537158966,99,0.5588235294117647,0.4117647058823529,0.5553618134263296,0.4097222222222222,0.5588235294117647,0.4117647058823529,0.5972267557548552,0.43491974267095435
3,realized_volatility_20,0.6666666666666666,0.01134164335867613,1020,340,317,112,0.35331230283911674,0.625,0.5474358974358974,-0.07756410256410262,0.5677635669708252,0.5891861617565155,103,0.5993589743589745,0.5467948717948719,0.5979258077383327,0.544606553456111,0.5982142857142857,0.5446428571428571,0.6140657863506999,0.5459195756701074
