candidate_name,groups,feature_count,training_rows,training_start,training_end,candidate_oof_roc_auc,candidate_oof_roc_auc_fold_std,candidate_oof_balanced_accuracy,candidate_oof_macro_f1,candidate_decision_threshold,matched_base_oof_roc_auc,delta_oof_roc_auc_vs_tuned_base
equity_rotation+flat_regime_state+futures_core+trend_direction+volatility_options_core,"['equity_rotation', 'flat_regime_state', 'futures_core', 'trend_direction', 'volatility_options_core']",106,2881,2008-04-10,2020-10-26,0.616620311380458,0.006587071582355051,0.596489292987763,0.5964737106433831,0.48883140087127686,0.5502446006092073,0.0663757107712507
breadth+equity_rotation+flat_regime_state+macro_cross_asset+trend_direction+volatility_options_core,"['breadth', 'equity_rotation', 'flat_regime_state', 'macro_cross_asset', 'trend_direction', 'volatility_options_core']",119,2875,2008-04-10,2020-10-26,0.612607880990234,0.004945073330340649,0.5876249148307973,0.5876388963756672,0.5059996545314789,0.5987865162957074,0.01382136469452655
equity_rotation+flat_regime_state+macro_cross_asset+trend_direction+volatility_options_core,"['equity_rotation', 'flat_regime_state', 'macro_cross_asset', 'trend_direction', 'volatility_options_core']",104,2875,2008-04-10,2020-10-26,0.6009574437883262,0.01563574049377478,0.5830763470928912,0.5832666197002689,0.484613299369812,0.5987865162957074,0.0021709274926187128
breadth+calendar+equity_rotation+flat_regime_state+futures_core+interaction_consensus+macro_cross_asset+rates_credit+technical_dynamics+trend_direction+volatility_options_core,"['breadth', 'calendar', 'equity_rotation', 'flat_regime_state', 'futures_core', 'interaction_consensus', 'macro_cross_asset', 'rates_credit', 'technical_dynamics', 'trend_direction', 'volatility_options_core']",187,2875,2008-04-10,2020-10-26,0.5625780717692482,0.0331808593622996,0.5668214498637293,0.5661954727990068,0.46211645007133484,0.5987865162957074,-0.036208444526459216
