volatility_window,threshold_multiplier,training_rows,training_start,training_end,down_share,flat_share,up_share,minimum_class_share,up_down_share_gap,median_threshold_pct,threshold_p25_pct,threshold_p75_pct,median_flat_abs_return_pct,flat_share_block_min,flat_share_block_max,flat_share_block_std,flat_share_block_range
10,0.1,3423,2007-02-14,2020-09-22,0.4040315512708151,0.10487876132047912,0.4910896874087058,0.10487876132047912,0.08705813613789071,0.08045837837639853,0.053498434489281814,0.12234164245990356,0.03770514119653767,0.09649122807017543,0.1154970760233918,0.0061714893607854775,0.019005847953216373
10,0.15,3423,2007-02-14,2020-09-22,0.3835816535203038,0.1481156879929886,0.46830265848670755,0.1481156879929886,0.08472100496640372,0.12068756756459781,0.08024765173392273,0.18351246368985533,0.052934662840060424,0.13450292397660818,0.16812865497076024,0.011103962590450642,0.03362573099415206
10,0.2,3423,2007-02-14,2020-09-22,0.36342389716622847,0.18872334209757521,0.44785276073619634,0.18872334209757521,0.08442886356996787,0.16091675675279707,0.10699686897856363,0.24468328491980712,0.06688438060266585,0.17251461988304093,0.20614035087719298,0.012453233549862467,0.03362573099415206
10,0.25,3423,2007-02-14,2020-09-22,0.3420975752264096,0.2275781478235466,0.4303242769500438,0.2275781478235466,0.08822670172363423,0.20114594594099633,0.13374608622320455,0.3058541061497589,0.08257994924441352,0.20029239766081872,0.24269005847953215,0.014367213221535988,0.042397660818713434
10,0.3,3423,2007-02-14,2020-09-22,0.3239848086473853,0.26672509494595387,0.4092900964066608,0.26672509494595387,0.08530528775927548,0.24137513512919562,0.16049530346784546,0.36702492737971065,0.10029683037337549,0.23391812865497075,0.28654970760233917,0.018699688100356954,0.05263157894736842
10,0.35,3423,2007-02-14,2020-09-22,0.30791703184341224,0.3055799006719252,0.38650306748466257,0.3055799006719252,0.07858603564125033,0.28160432431739485,0.18724452071248637,0.4281957486096624,0.11722572670314393,0.2675438596491228,0.33187134502923976,0.02128290101300553,0.06432748538011696
10,0.4,3423,2007-02-14,2020-09-22,0.2927256792287467,0.34063686824423023,0.36663745252702307,0.2927256792287467,0.07391177329827636,0.32183351350559414,0.21399373795712726,0.48936656983961424,0.13283248462311914,0.2997076023391813,0.3742690058479532,0.026415712173225817,0.07456140350877188
10,0.45,3423,2007-02-14,2020-09-22,0.2743207712532866,0.3791995325737657,0.3464796961729477,0.2743207712532866,0.07215892491966114,0.3620627026937934,0.2407429552017682,0.550537391069566,0.1522303678418553,0.34941520467836257,0.40497076023391815,0.020344618450436995,0.05555555555555558
10,0.5,3423,2007-02-14,2020-09-22,0.2614665498101081,0.41396435874963483,0.3245690914402571,0.2614665498101081,0.063102541630149,0.40229189188199266,0.2674921724464091,0.6117082122995178,0.16822221528580156,0.39124087591240875,0.4371345029239766,0.017615082415689754,0.04589362701156785
10,0.55,3423,2007-02-14,2020-09-22,0.24539877300613497,0.4472684779433246,0.3073327490505405,0.24539877300613497,0.06193397604440551,0.44252108107019195,0.29424138969105,0.6728790335294697,0.18467146015606425,0.4291970802919708,0.4692982456140351,0.013903151533454922,0.040101165322064314
10,0.6,3423,2007-02-14,2020-09-22,0.23371311714869997,0.4767747589833479,0.2895121238679521,0.23371311714869997,0.05579900671925214,0.48275027025839123,0.3209906069356909,0.7340498547594213,0.19680442969800946,0.4583941605839416,0.5043859649122807,0.015900749370699845,0.0459918043283391
10,0.65,3423,2007-02-14,2020-09-22,0.22261174408413673,0.5062810400233713,0.271107215892492,0.22261174408413673,0.048495471808355256,0.5229794594465905,0.34773982418033184,0.7952206759893731,0.21249455866824704,0.48613138686131385,0.5307017543859649,0.017598528520944675,0.044570367524651044
