target_name,volatility_window,threshold_multiplier,feature_scope,feature_count,train_down_share,train_flat_share,train_up_share,stage1_balanced_accuracy,stage1_macro_f1,stage1_flat_f1,stage1_flat_recall,stage1_move_f1,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1,end_to_end_macro_f1,end_to_end_balanced_accuracy,end_to_end_accuracy,end_to_end_down_f1,end_to_end_flat_f1,end_to_end_up_f1,move_threshold,up_threshold,end_to_end_macro_f1_fold_std,trend_delta_stage1_balanced_accuracy,trend_delta_stage1_flat_f1,trend_delta_stage2_balanced_accuracy,trend_delta_end_to_end_macro_f1
current_20d_k015,20,0.15,base,21,0.3800878477306003,0.154904831625183,0.4650073206442167,0.5614296157059315,0.5403517601861771,0.27289719626168224,0.3659147869674185,0.807806324110672,0.4950396575710421,0.4926764588686297,0.472007722007722,0.5133451957295374,0.351518060591081,0.3670130613008098,0.3669402110199297,0.37265135699373697,0.27289719626168224,0.4090056285178236,0.5053581297397614,0.4966309815645218,0.014310630228149214,0.0,0.0,0.0,0.0
current_20d_k015,20,0.15,base_trend,31,0.3800878477306003,0.154904831625183,0.4650073206442167,0.5321463380673908,0.5296039149633789,0.21784472769409038,0.23558897243107768,0.8413631022326674,0.5044461261943052,0.5014544909281752,0.407977207977208,0.5949317738791423,0.3534110575548867,0.35669330234584223,0.39898397811645175,0.34059633027522934,0.21784472769409038,0.5017921146953405,0.44959554076194763,0.46880248188972473,0.01561809362824218,-0.029283277638540772,-0.055052468567591856,0.009406468623263053,0.0018929969638057376
flat20_20d_k020,20,0.2,base,21,0.354904831625183,0.2,0.445095168374817,0.5459800673379991,0.5436902139212765,0.27906976744186046,0.2952755905511811,0.8083106604006925,0.5033290116954325,0.5031233199075481,0.43335224049914917,0.572894399315947,0.3610162544014406,0.3630377350023533,0.38452520515826494,0.3331385154880187,0.27906976744186046,0.47084048027444253,0.4543469101190567,0.4873967915773392,0.0006116488586100654,0.0,0.0,0.0,0.0
flat20_20d_k020,20,0.2,base_trend,31,0.354904831625183,0.2,0.445095168374817,0.5536376532285,0.5498309780136708,0.2929936305732484,0.3169291338582677,0.8066683254540931,0.518329822002539,0.5180739549550141,0.4471126357918811,0.589035274118147,0.3799080731052869,0.38244170131030847,0.40289175459163734,0.3611764705882353,0.2929936305732484,0.4855541181543769,0.4480952173471451,0.48108915984630585,0.021880807883938706,0.0076575858905009175,0.013923863131387937,0.015000810307106427,0.01889181870384632
flat30_20d_k030,20,0.3,base,21,0.3171303074670571,0.2799414348462665,0.40292825768667645,0.5479516906740606,0.5492197376328933,0.3313161875945537,0.3084507042253521,0.7671232876712328,0.4952464390011324,0.49174622653086264,0.3820689655172414,0.6014234875444839,0.35991061452091505,0.3606483176628957,0.37631887456037516,0.28875582168995345,0.3313161875945537,0.4596598342782381,0.46330808103084564,0.48295456171035767,0.012540802817748243,0.0,0.0,0.0,0.0
flat30_20d_k030,20,0.3,base_trend,31,0.3171303074670571,0.2799414348462665,0.40292825768667645,0.5512987606547887,0.5502608426134459,0.35728952772073924,0.3676056338028169,0.7432321575061526,0.5119881995351332,0.5116986286022199,0.45571166768478927,0.5676855895196506,0.3756699323194663,0.37626467468417796,0.381789761625635,0.33523086654016443,0.35728952772073924,0.4344894026974952,0.46973471343517303,0.49542848765850067,0.010266710018510414,0.00334706998072809,0.025973340126185518,0.016741760534000782,0.015759317798551276
flat40_20d_k045,20,0.45,base,21,0.2644216691068814,0.3953147877013177,0.34026354319180085,0.5794814346718753,0.579756839831036,0.48877805486284287,0.4832347140039448,0.670735624799229,0.5034026707755521,0.5030693757935715,0.4175136825645035,0.5886250690226394,0.3919294716530166,0.3919804807679645,0.406799531066823,0.2815158546017015,0.48877805486284287,0.4054945054945055,0.5017662048339844,0.4814338982105255,0.008103800066220381,0.0,0.0,0.0,0.0
flat40_20d_k045,20,0.45,base_trend,31,0.2644216691068814,0.3953147877013177,0.34026354319180085,0.5750454797878248,0.5755217245923565,0.46455026455026455,0.4329388560157791,0.6864931846344485,0.5123908577298408,0.5110599430361098,0.41295546558704455,0.6091644204851752,0.3937637442465971,0.3945611971687591,0.40640875341930444,0.29153605015673983,0.46455026455026455,0.42520491803278687,0.4953116774559021,0.47239169478416443,0.02091190207025508,-0.004435954884050464,-0.024227790312578323,0.008988186954288713,0.0018342725935804882
research_20d_k050,20,0.5,base,21,0.2521229868228404,0.4292825768667643,0.3185944363103953,0.5711661303042875,0.5676619971436889,0.5375892482150357,0.5812897366030881,0.597734746072342,0.4971491059780523,0.4955313159746657,0.3979591836734694,0.593103448275862,0.3767427978067979,0.38004851399674733,0.41539663931223136,0.22944896115627822,0.5375892482150357,0.36319018404907977,0.5406687259674072,0.47479207813739777,0.003813672079154804,0.0,0.0,0.0,0.0
research_20d_k050,20,0.5,base_trend,31,0.2521229868228404,0.4292825768667643,0.3185944363103953,0.5763316550984328,0.5764807992601689,0.4995224450811843,0.4750227066303361,0.6534391534391535,0.5048749136674086,0.5041211487519945,0.41569282136894825,0.5925494761350407,0.38881054005558374,0.38999618576471257,0.4099257522469715,0.2673434856175973,0.4995224450811843,0.3995656894679696,0.49911193549633026,0.4736641198396683,0.012958338839188633,0.0051655247941452265,-0.03806680313385141,0.007725807689356268,0.012067742248785818
