feature_date,target_date,future_log_return,direction,implied_realized_ratio_20,realized_volatility_20,vvix_level,ma_alignment_score,adx_14,rsp_relative_return_20,sector_volume_breadth,hyg_lqd_relative_return_5,crude_return_5d,outer_fold,actual_up,score,saved_decision_threshold,predicted_up,regime__implied_realized_ratio_20,regime__realized_volatility_20,regime__vvix_level,regime__ma_alignment_score,regime__adx_14,regime__rsp_relative_return_20,regime__sector_volume_breadth,regime__hyg_lqd_relative_return_5,regime__crude_return_5d
2011-01-21,2011-01-24,0.005670664070208581,UP,2.589090325044516,0.0044938586405071255,85.41000366210938,1.0,31.98168810425061,-0.00800672196255682,0.3277411786718573,0.009450009701881416,-0.025373926680576152,1,1,0.230704203248024,0.3204227089881897,0,HIGH,LOW,MID,HIGH,HIGH,LOW,HIGH,HIGH,MID
2011-01-27,2011-01-28,-0.01761718927405389,DOWN,2.2102171129823893,0.004602961144301582,77.04000091552734,1.0,30.515551818445317,-0.00019417684485483616,0.057526089478903,0.007448063435305392,-0.036909647781912656,1,0,0.3054031431674957,0.3204227089881897,0,HIGH,LOW,LOW,HIGH,HIGH,MID,MID,HIGH,LOW
2011-01-28,2011-01-31,0.007488268048510469,UP,2.01125674235087,0.006276679505611277,91.5199966430664,1.0,28.360198550459465,-0.0046497819826535735,-1.5585424373233279,-0.0024329639374508468,0.002577706459223512,1,1,0.9457868337631226,0.3204227089881897,1,HIGH,LOW,HIGH,HIGH,MID,MID,LOW,MID,MID
2011-01-31,2011-02-01,0.015882014747780775,UP,1.9073575787340729,0.006450150808723437,86.08000183105469,1.0,26.358799087329743,-0.0021159481504941687,0.8399367742467564,0.004719105133841716,0.0479932105277489,1,1,0.00890264566987753,0.3204227089881897,0,HIGH,LOW,MID,HIGH,MID,MID,HIGH,HIGH,HIGH
2011-02-04,2011-02-07,0.006232973504143775,UP,1.4526391325329986,0.006908086616900841,81.11000061035156,1.0,24.276442266242572,0.005721037299563577,0.19112356874289974,0.021804434872156053,-0.0034758970588331054,1,1,0.9971035122871399,0.3204227089881897,1,HIGH,LOW,MID,HIGH,MID,MID,MID,HIGH,MID
2011-02-10,2011-02-11,0.00595257201654703,UP,1.4944821923020446,0.006782113184660558,83.7300033569336,1.0,24.59584876304212,0.005540267539254757,0.4047881807969119,0.006833148761569501,-0.04299186871773938,1,1,0.9920814037322998,0.3204227089881897,1,HIGH,LOW,MID,HIGH,MID,MID,HIGH,HIGH,LOW
2011-02-15,2011-02-16,0.006295543499705147,UP,1.5211661434836392,0.006779095944325871,84.37999725341797,1.0,25.19391075514398,0.00454358010420108,-0.4125131696089166,-0.013133792627731596,-0.03059917246835814,1,1,0.9993932247161865,0.3204227089881897,1,HIGH,LOW,MID,HIGH,MID,MID,MID,LOW,LOW
2011-02-18,2011-02-22,-0.020273985764222773,DOWN,1.6500063988496056,0.006272658913339998,85.47000122070312,1.0,26.816492183242076,0.013398401318016492,0.409359783096213,-0.0005574357548447971,0.007218509881928548,1,0,0.9843743443489075,0.3204227089881897,1,HIGH,LOW,MID,HIGH,MID,HIGH,HIGH,MID,MID
2011-02-22,2011-02-23,-0.006163211746435969,DOWN,1.6389215296432118,0.007994750010941014,99.18000030517578,1.0,24.956753881600964,0.009067210129725674,-1.6938867050914057,-0.011701312375095838,0.09829638443951634,1,0,0.4636738896369934,0.3204227089881897,1,HIGH,LOW,HIGH,HIGH,MID,HIGH,LOW,LOW,HIGH
2011-02-24,2011-02-25,0.010636043322289847,UP,1.6525926405448566,0.008126828769444303,94.06999969482422,1.0,23.639908676760353,0.004830362635230491,-0.08827826769674714,-0.007211329562002595,0.13505982829405624,1,1,0.0052782087586820126,0.3204227089881897,0,HIGH,LOW,HIGH,HIGH,MID,MID,MID,MID,HIGH
2011-02-25,2011-02-28,0.006177449798552023,UP,1.4360018896661213,0.008431368793206315,86.16999816894531,1.0,22.40628660933664,0.005832049557738101,0.77386912171689,-0.009286564015814161,0.12521759779963046,1,1,6.274375482462347e-05,0.3204227089881897,0,HIGH,LOW,MID,HIGH,MID,MID,HIGH,LOW,HIGH
2011-02-28,2011-03-01,-0.016813493120841887,DOWN,1.5872518372877646,0.007282658891896129,81.77999877929688,1.0,21.016699324017594,0.006885676831286998,1.168519024256425,-0.00851537292016754,0.11773152263849249,1,0,0.9853518605232239,0.3204227089881897,1,HIGH,LOW,MID,HIGH,MID,HIGH,HIGH,LOW,HIGH
2011-03-02,2011-03-03,0.017077598345467793,UP,1.7354456447428268,0.007513790385153414,87.55000305175781,1.0,19.929224897491224,0.006967855423761882,0.72972297652814,0.0026837439162440114,0.04123785858899538,1,1,0.9539902806282043,0.3204227089881897,1,HIGH,LOW,MID,HIGH,LOW,HIGH,HIGH,HIGH,HIGH
2011-03-03,2011-03-04,-0.00752052872084866,DOWN,1.3973855059737692,0.008384872215648504,82.36000061035156,0.0,18.661321063152542,0.00782590895086974,1.1798666105592366,0.010874023150894148,0.046496701105831185,1,0,0.21422997117042542,0.3204227089881897,0,HIGH,LOW,MID,MID,LOW,HIGH,HIGH,HIGH,HIGH
