architecture,nested_oof_auc,nested_oof_inverted_auc,outer_fold_auc_mean,outer_fold_auc_std,inner_cv_auc_mean,delta_auc_vs_xlstm_binary_winner,delta_auc_lower_95,delta_auc_upper_95,probability_delta_positive,balanced_accuracy_mean,macro_f1_mean,sign_accuracy_mean,magnitude_weighted_sign_accuracy_mean,move_rows,mae_mean,rmse_mean,return_correlation_mean
xgboost_binary_winner,0.5629689994953213,0.4370310005046786,0.5632548735223984,0.02271877745414552,0.5348721768607575,0.06318824512488724,0.012284073885479127,0.1081085178625044,0.9926666666666667,0.5517121498102495,0.5467150830750348,0.560392430263475,0.5619190278866936,991,,,
xgboost_regression_volnorm_winner,0.5514275786181735,0.4485724213818266,0.5536483694173596,0.009283121158019382,0.5331419488280406,0.05164682424773942,0.0010534281978292522,0.099114421261005,0.978,0.5312203583573657,0.5287500583359083,0.5318539541910238,0.5176500514437442,991,0.012765574558552715,0.017075419166196936,0.09089598628060358
xlstm_gaussian_volnorm_winner,0.5147349609908248,0.4852650390091753,0.5195005677149153,0.04643836546810653,0.5557721823040872,0.014954206620390764,-0.03145733757163657,0.06115663037589949,0.74,0.5203154858014014,0.5145006197216982,0.5274731153882658,0.5134770337393407,991,0.012986578278357745,0.017222626178174594,0.0072582481468352915
xlstm_huber_raw_winner,0.5105155167991793,0.4894844832008207,0.5125089654643071,0.022803247876043813,0.5577522252653222,0.010734762428745215,-0.03658993133615958,0.054319284633266934,0.674,0.5061710699431109,0.495972216698932,0.49913046442781445,0.5034390532202141,991,0.013566188642242747,0.01773775789806263,0.048845426645965216
xlstm_binary_winner,0.49978075437043407,0.5002192456295659,0.49370228417294276,0.00989995930009085,0.5168436649027504,0.0,0.0,0.0,0.5,0.5078281678052744,0.49314078136140216,0.5078466736990653,0.5295257500434235,991,,,
xlstm_binary_base,0.49291381578403065,0.5070861842159693,0.4958667488976183,0.005121429835439805,0.49452316065531887,-0.006866938586403415,-0.05303651066304902,0.04423044438391553,0.412,0.4917373199868679,0.4866451115547292,0.4979958868203484,0.5003310494267619,991,,,
xlstm_huber_volnorm_winner,0.4724577848745336,0.5275422151254664,0.47683972742978337,0.02343000595073231,0.5566114624327341,-0.027322969495900462,-0.0779938602454363,0.020541113727227105,0.14,0.4742424892897065,0.4688183678832307,0.4841170298227528,0.4405825183811763,991,0.0132330396242663,0.017730811943625933,-0.090329855326698
