phase,target_name,target_role,volatility_window,threshold_multiplier,candidate_name,groups,feature_count,development_rows,verification_rows,verification_move_rows,development_oof_auc,development_oof_auc_fold_std,development_base_oof_auc,development_delta_auc,verification_auc,verification_base_auc,verification_delta_auc,verification_delta_lower_95,verification_delta_upper_95,verification_probability_delta_positive,verification_balanced_accuracy,verification_macro_f1,verification_down_f1,verification_up_f1,status
primary,primary_90d_k700,primary,90,0.7,breadth+calendar+interaction_consensus,"['breadth', 'calendar', 'interaction_consensus']",58,2629,659,254,0.48578375647341165,0.041325622389589756,0.5008968043450802,-0.015113047871668561,0.519240379810095,0.4527111444277861,0.06652923538230887,-0.006231988283869813,0.16178012144455092,0.965,0.5073088455772115,0.4964528549193086,0.37948717948717947,0.6134185303514377,ok
primary,primary_90d_k700,primary,90,0.7,calendar+technical_dynamics,"['calendar', 'technical_dynamics']",52,2633,659,254,0.5054416126275574,0.0396383956201088,0.5254046649575228,-0.019963052329965425,0.5318590704647677,0.4682658670664668,0.06359320339830088,-0.009042214178501795,0.14836704226922862,0.964,0.5280484757621189,0.48960611718680536,0.3067484662576687,0.672463768115942,ok
primary,primary_90d_k700,primary,90,0.7,equity_rotation+futures_core+rates_credit,"['equity_rotation', 'futures_core', 'rates_credit']",58,2627,659,254,0.49283195047068074,0.005224920394336386,0.5069016264494683,-0.01406967597878761,0.5101199400299851,0.46657921039480255,0.04354072963518252,-0.0024992635296170744,0.12660052202688604,0.966,0.52023988005997,0.5116976213750407,0.40404040404040403,0.6193548387096774,ok
primary,primary_90d_k700,primary,90,0.7,calendar+equity_rotation+futures_core+technical_dynamics+volatility_options_core,"['calendar', 'equity_rotation', 'futures_core', 'technical_dynamics', 'volatility_options_core']",86,2592,627,239,0.5082708744247206,0.0398848057494799,0.4984418145956607,0.009829059829059905,0.5007093204709888,0.47815292949354515,0.022556390977443663,-0.05213985710545018,0.11054768823392519,0.753,0.5222371967654986,0.5132564787653444,0.39106145251396646,0.6354515050167224,ok
primary,primary_90d_k700,primary,90,0.7,breadth+calendar+macro_cross_asset,"['breadth', 'calendar', 'macro_cross_asset']",54,2625,655,252,0.4942210158778704,0.041518732405638824,0.5246068761628055,-0.030385860284935173,0.528594097112028,0.5285306251983497,6.347191367828131e-05,-0.04980043185238513,0.05744774659798756,0.515,0.5404316090130117,0.5260188087774295,0.4,0.6520376175548589,ok
primary,primary_90d_k700,primary,90,0.7,calendar+equity_rotation+macro_cross_asset+volatility_options_core,"['calendar', 'equity_rotation', 'macro_cross_asset', 'volatility_options_core']",63,2590,623,237,0.4680499788672866,0.004718050112108016,0.5189203825021134,-0.050870403634826755,0.48398268398268396,0.4886724386724387,-0.004689754689754744,-0.11605328712107665,0.07512698376105843,0.347,0.4844155844155844,0.44798136645962733,0.25,0.6459627329192547,ok
primary,primary_90d_k700,primary,90,0.7,calendar+equity_rotation+futures_core+volatility_options_core,"['calendar', 'equity_rotation', 'futures_core', 'volatility_options_core']",65,2592,627,239,0.5163116370808679,0.020421357154237364,0.4984418145956607,0.017869822485207187,0.4602780536246276,0.47815292949354515,-0.01787487586891756,-0.13644119690712822,0.08781643080270546,0.317,0.4819123279897858,0.4805934227778077,0.39800995024875624,0.5631768953068592,ok
primary,primary_90d_k700,primary,90,0.7,calendar+equity_rotation,"['calendar', 'equity_rotation']",41,2633,659,254,0.48605665309405316,0.021856262515485166,0.5254046649575228,-0.039348011863469645,0.42784857571214396,0.4682658670664668,-0.040417291354322815,-0.11771306246927915,0.043968758328891196,0.209,0.4462143928035982,0.44552807224185315,0.38222222222222224,0.508833922261484,ok
