target_name,volatility_window,threshold_multiplier,feature_profile,stage1_feature_count,stage2_feature_count,train_down_share,train_flat_share,train_up_share,stage1_roc_auc,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_f1,stage1_flat_recall,stage2_roc_auc,stage2_roc_auc_fold_std,stage2_balanced_accuracy,stage2_down_f1,stage2_up_f1,end_to_end_macro_f1,end_to_end_balanced_accuracy,end_to_end_down_f1,end_to_end_flat_f1,end_to_end_up_f1,end_to_end_macro_f1_fold_std,move_threshold,up_threshold,stage_specific_delta_stage1_roc_auc,stage_specific_delta_stage1_balanced_accuracy,stage_specific_delta_stage1_flat_f1,stage_specific_delta_stage2_roc_auc,stage_specific_delta_stage2_balanced_accuracy,stage_specific_delta_end_to_end_macro_f1
flat_20d_k035,20,0.35,base_only,21,21,0.3007320644216691,0.31771595900439237,0.3815519765739385,0.58922694810886,0.009124054960580908,0.5722924948120169,0.44179750947482405,0.504950495049505,0.4778010422482784,0.013959882705560839,0.4875681316636091,0.4030054644808743,0.5711481844946026,0.3714612332155273,0.3778424137380636,0.26895565092989987,0.44179750947482405,0.403630539241858,0.006574800832829894,0.516727089881897,0.48414769768714905,0.0,0.0,0.0,0.0,0.0,0.0
flat_20d_k035,20,0.35,stage_specific_trend,23,29,0.3007320644216691,0.31771595900439237,0.3815519765739385,0.5706576440054056,0.014736269140074176,0.5541462163063822,0.37792207792207794,0.36014851485148514,0.49799127914705804,0.007409004478006961,0.5107355560873149,0.4116809116809117,0.6062917063870352,0.3723105901959955,0.37200239107423544,0.3089430894308943,0.37792207792207794,0.4300666032350143,0.017887653843857758,0.4749930202960968,0.465738445520401,-0.018569304103454365,-0.018146278505634772,-0.06387543155274611,0.020190236898779634,0.02316742442370584,0.0008493569804681744
flat_20d_k040,20,0.4,base_only,21,21,0.28199121522694,0.3581259150805271,0.35988286969253297,0.6001604902246863,0.02402550665489202,0.5775900602169934,0.4683080146673651,0.48586956521739133,0.4774299379422111,0.012400822128595737,0.5061920963735265,0.3350970017636684,0.648320895522388,0.38470390833140744,0.39136155548425666,0.23183391003460208,0.4683080146673651,0.45396980029225525,0.009836002387634863,0.5047494471073151,0.45776230096817017,0.0,0.0,0.0,0.0,0.0,0.0
flat_20d_k040,20,0.4,stage_specific_trend,23,29,0.28199121522694,0.3581259150805271,0.35988286969253297,0.5702851022627796,0.02113533083412288,0.5599809003368968,0.44883116883116886,0.46956521739130436,0.5065022332898533,0.016984828061252927,0.515366220008696,0.45391061452513964,0.5763813651137595,0.38272656810927863,0.38395699804915157,0.31802120141342755,0.44883116883116886,0.3813273340832396,0.008226268444447763,0.5057966411113739,0.46495988965034485,-0.029875387961906696,-0.017609159880096592,-0.019476845836196244,0.02907229534764222,0.009174123635169562,-0.0019773402221288094
flat_20d_k045,20,0.45,base_only,21,21,0.2644216691068814,0.3953147877013177,0.34026354319180085,0.6034462508697012,0.018247729797387438,0.5794814346718753,0.48877805486284287,0.4832347140039448,0.48650744735490503,0.02137387659238053,0.5034026707755521,0.4175136825645035,0.5886250690226394,0.3919294716530166,0.3919804807679645,0.2815158546017015,0.48877805486284287,0.4054945054945055,0.008103800066220381,0.5017662048339844,0.4814338982105255,0.0,0.0,0.0,0.0,0.0,0.0
flat_20d_k045,20,0.45,stage_specific_trend,23,29,0.2644216691068814,0.3953147877013177,0.34026354319180085,0.5743624850794381,0.010410820326240518,0.5593257501771318,0.46068548387096775,0.45069033530571995,0.49801746276322545,0.014853345922624812,0.5086671802773498,0.4517543859649123,0.5644599303135889,0.3786740892267688,0.37909503215891743,0.30813124108416545,0.46068548387096775,0.3672055427251732,0.013421339195276365,0.5004507601261139,0.48927997052669525,-0.02908376579026306,-0.020155684494743475,-0.02809257099187512,0.011510015408320418,0.005264509501797687,-0.013255382426247797
flat_20d_k050,20,0.5,base_only,21,21,0.2521229868228404,0.4292825768667643,0.3185944363103953,0.5925433793197106,0.00923151846514061,0.5711661303042875,0.5375892482150357,0.5812897366030881,0.48178861944593665,0.01575319635696669,0.4971491059780523,0.3979591836734694,0.593103448275862,0.3767427978067979,0.38004851399674733,0.22944896115627822,0.5375892482150357,0.36319018404907977,0.003813672079154804,0.5406687259674072,0.47479207813739777,0.0,0.0,0.0,0.0,0.0,0.0
flat_20d_k050,20,0.5,stage_specific_trend,23,29,0.2521229868228404,0.4292825768667643,0.3185944363103953,0.5833392513851356,0.0037364613351228803,0.5694150099236385,0.5283505154639175,0.55858310626703,0.4901043665106285,0.017919920283907164,0.5012393523137135,0.4161849710982659,0.5853372434017595,0.38244763596316983,0.38359799600352157,0.26712922810060713,0.5283505154639175,0.3518631643249847,0.019929704809077416,0.5278432071208954,0.4762562960386276,-0.009204127934574924,-0.0017511203806490627,-0.009238732751118195,0.008315747064691847,0.004090246335661241,0.005704838156371905
flat_40d_k030,40,0.3,base_only,21,21,0.30834553440702783,0.29897510980966324,0.3926793557833089,0.5838543044615202,0.0254199961249401,0.5690707590124229,0.41954022988505746,0.47963206307490147,0.48157292150019165,0.015638928187501993,0.500601458631751,0.3526717557251908,0.6290463692038495,0.36360829578092485,0.37470106099107364,0.22966507177033493,0.41954022988505746,0.4416195856873823,0.010361449287065222,0.5074043571949005,0.47582362592220306,0.0,0.0,0.0,0.0,0.0,0.0
flat_40d_k030,40,0.3,stage_specific_trend,23,29,0.30834553440702783,0.29897510980966324,0.3926793557833089,0.5772927723752045,0.027126788698374812,0.5610208597960356,0.39141414141414144,0.4073587385019711,0.49859785744547785,0.007608790659525855,0.5063752093126476,0.39971850809289233,0.607816091954023,0.3731225189400094,0.3746884727831501,0.3020979020979021,0.39141414141414144,0.42585551330798477,0.00744556462756571,0.4790131002664566,0.47507771849632263,-0.006561532086315713,-0.008049899216387324,-0.028126088470916022,0.0170249359452862,0.005773750680896583,0.009514223159084567
flat_40d_k035,40,0.35,base_only,21,21,0.29458272327964863,0.33528550512445093,0.37013177159590044,0.5919836698308876,0.028697659696278334,0.5690655134555727,0.4415156507413509,0.46635730858468677,0.4978035781400567,0.010438176249086918,0.5151997479307431,0.4069069069069069,0.6168768186226964,0.3819036826198232,0.3845100117897687,0.2805701425356339,0.4415156507413509,0.42362525458248473,0.010403509815239312,0.49790848791599274,0.47465355694293976,0.0,0.0,0.0,0.0,0.0,0.0
flat_40d_k035,40,0.35,stage_specific_trend,23,29,0.29458272327964863,0.33528550512445093,0.37013177159590044,0.5866391762725814,0.024776898617339956,0.5685685261420795,0.4372559955382041,0.4547563805104408,0.5055147214662971,0.017770718781533294,0.5124226059778847,0.4413793103448276,0.5833333333333334,0.38792722167772026,0.3888715521829614,0.31827376938637897,0.4372559955382041,0.40825190010857765,0.017226649344675066,0.48745056986808777,0.4810597598552704,-0.005344493558306129,-0.0004969873134931246,-0.004259655203146806,0.007711143326240344,-0.0027771419528583863,0.006023539057897043
flat_40d_k040,40,0.4,base_only,21,21,0.2755490483162518,0.3765739385065886,0.3478770131771596,0.6041365696112413,0.027262872792720032,0.5777764208841518,0.4871541501976285,0.5098241985522234,0.4885366281869768,0.008462064957857276,0.505012507107226,0.3773898586866168,0.6219081272084805,0.3844108475168038,0.3873835927362416,0.24592833876221498,0.4871541501976285,0.42015005359056806,0.004904413825148169,0.4984729439020157,0.4716830998659134,0.0,0.0,0.0,0.0,0.0,0.0
flat_40d_k040,40,0.4,stage_specific_trend,23,29,0.2755490483162518,0.3765739385065886,0.3478770131771596,0.5960399203878752,0.01963576668644759,0.5710776607962252,0.4698672114402451,0.4756980351602896,0.4964314879511377,0.01716028403755908,0.511568872846289,0.41009463722397477,0.6096033402922756,0.3890421259240831,0.38979474708753276,0.278853601859024,0.4698672114402451,0.4184055644729802,0.01585914852291035,0.49399901926517487,0.46758684515953064,-0.00809664922336606,-0.006698760087926581,-0.017286938757383352,0.007894859764160878,0.006556365739063041,0.004631278407279282
flat_40d_k045,40,0.45,base_only,21,21,0.25768667642752563,0.4149341142020498,0.3273792093704246,0.6193082339228881,0.02063650763371803,0.5914353160159458,0.5357946870778928,0.5571161048689138,0.4791836772224062,0.016469827532906007,0.5051583360918018,0.39066551426101986,0.6136986301369863,0.39512624850027844,0.3979805531070273,0.24171888988361684,0.5357946870778928,0.40786516853932586,0.0039114862969071495,0.5081000626087189,0.46445977687835693,0.0,0.0,0.0,0.0,0.0,0.0
flat_40d_k045,40,0.45,stage_specific_trend,23,29,0.25768667642752563,0.4149341142020498,0.3273792093704246,0.6185238773464758,0.01552804607820664,0.5904396415948877,0.548345509239364,0.5973782771535581,0.4993057854279304,0.018576943045909886,0.5075471698113208,0.4251207729468599,0.5896551724137931,0.4011236019402938,0.40347711669582176,0.2808798646362098,0.548345509239364,0.37414543194530764,0.008446811427414162,0.5309835374355316,0.4756929874420166,-0.0007843565764122928,-0.0009956744210580792,0.012550822161471187,0.020122108205524236,0.0023888337195189235,0.0059973534400153405
