outer_fold,rows,predicted_move_rows,true_move_rows,routed_true_move_rows,routed_flat_rows,route_move_purity,route_flat_contamination,true_move_recall,stage2_auc_all_true_move,stage2_auc_routed_true_move,stage2_auc_routed_high_vol_true_move,routed_direction_accuracy,high_vol_direction_accuracy,high_vol_directional_coverage,high_vol_routed_rows,high_vol_routed_true_move_rows,high_vol_routed_flat_rows,stage1_threshold,high_volatility_threshold,test_start,test_end
1,822,498,345,245,253,0.4919678714859438,0.5080321285140562,0.7101449275362319,0.5639638405697849,0.5622657226155768,0.6307692307692307,0.27710843373493976,0.29545454545454547,0.0535279805352798,44,23,21,0.46214331686496735,0.015304471838370817,2010-11-23,2014-03-03
2,822,629,329,286,343,0.4546899841017488,0.5453100158982512,0.8693009118541033,0.5350824587706147,0.5384881252160174,0.5794871794871794,0.2527821939586645,0.3617021276595745,0.057177615571776155,47,28,19,0.5108590722084045,0.012778635259787894,2014-03-04,2017-06-12
3,822,289,317,172,117,0.5951557093425606,0.40484429065743943,0.5425867507886435,0.5907183212267958,0.5798913043478261,0.6246464646464647,0.34256055363321797,0.39473684210526316,0.18491484184914841,152,100,52,0.5284885168075562,0.01134164335867613,2017-06-13,2020-09-18
