validation_block,start,end,rows,up_share,roc_auc,predicted_up_share,sign_accuracy,magnitude_weighted_sign_accuracy,mean_score,median_score,mean_probability_distance_from_0_5,median_absolute_future_return
1,2020-09-21,2021-10-14,110,0.6090909090909091,0.4342242276987157,0.3181818181818182,0.4,0.40006985085512137,0.3982589641363635,0.354833055,0.2431064509545455,0.0109185327805046
2,2021-10-15,2022-09-09,110,0.5272727272727272,0.6429045092838197,0.36363636363636365,0.6,0.5896575838472815,0.4390854875545454,0.43349159000000004,0.2416371289909091,0.015524573263808749
3,2022-09-13,2023-08-29,110,0.5545454545454546,0.5419872867179658,0.41818181818181815,0.5363636363636364,0.5433780773664009,0.4594216107636363,0.43906231,0.2511250159636364,0.013120172960551499
