family,feature,block1_mean_z_vs_development,block2_mean_z_vs_development,block3_mean_z_vs_development,block2_minus_block1_mean_in_dev_std,abs_block2_minus_block1_mean_in_dev_std,block3_minus_block1_mean_in_dev_std,block1_mean,block2_mean,block3_mean,block1_median,block2_median,block3_median
volatility,implied_realized_ratio_20,0.6705348844032457,-0.24960297150941024,-0.2874894763076029,-0.920137855912656,0.920137855912656,-0.9580243607108486,1.6748865068135386,1.276592740047644,1.2601930684020306,1.6623643338137182,1.1719654777131483,1.2404276492234203
trend,ma_alignment_score,0.5304969102822414,-0.25926604080979304,0.06792146749976412,-0.7897629510920344,0.7897629510920344,-0.46257544278247725,0.5454545454545454,-0.09090909090909091,0.17272727272727273,1.0,0.0,0.0
trend,distance_from_252d_high,0.46950023157969706,-0.14966735106259443,-0.42201872530809376,-0.6191675826422915,0.6191675826422915,-0.8915189568877908,-0.02363623182416778,-0.08774069268028169,-0.11593812823548888,-0.01458437307520899,-0.08275939191244241,-0.13200084368824
trend,close_vs_sma_50,0.4552924274646468,-0.1368166856017043,0.17472750277961574,-0.5921091130663512,0.5921091130663512,-0.2805649246850311,0.016705331404409565,-0.012698882349658634,0.002772441612172512,0.018981206870219647,-0.006451863987385897,0.009114038299415261
trend,adx_14,-0.4275784235432933,0.0628114844199964,-0.16397624888385223,0.4903899079632897,0.4903899079632897,0.263602174659441,20.095597852239656,24.228756240038976,22.31731881660618,19.9529369928112,24.780188464830353,20.12698415842997
trend,signed_trend_efficiency_20,0.27851298345386244,-0.21034735108307487,-0.011367159948054581,-0.4888603345369373,0.4888603345369373,-0.28988014340191703,0.10870431064304437,-0.025895007325130174,0.028890779378796198,0.10843387374098967,-0.056972110992129794,0.031166761460385564
volatility,realized_volatility_40,-0.2379488515777293,0.2061586168795097,0.014203426438232778,0.44410746845723903,0.44410746845723903,0.2521522780159621,0.009181119103688594,0.012764340843396777,0.011215576050432628,0.008564987522456475,0.012693538856756784,0.010774325168952898
volatility,realized_volatility_20,-0.23963643579208552,0.1802940091784899,-0.0492261020044448,0.4199304449705754,0.4199304449705754,0.19041033378764072,0.009203842011967304,0.01303298898654708,0.010940103724553441,0.008969057493990292,0.012376524808140499,0.010406012297257981
breadth,rsp_relative_return_20,0.662392985090078,0.29343290405035344,-0.15536783133068355,-0.36896008103972466,0.36896008103972466,-0.8177608164207616,0.008269686500524925,0.0026294637662486815,-0.0042312678980624,0.008632895169008534,0.004829226882658409,-0.0013766687622263464
volatility,target_rolling_volatility,-0.17119504991171552,0.16382334408513113,0.22959852329326916,0.33501839399684663,0.33501839399684663,0.40079357320498465,0.009640876466648705,0.011839950687500224,0.012271701610913302,0.009608107667760556,0.011922187639032232,0.013125154875144693
liquidity,relative_volume_20,0.2094119085011969,-0.08331679870964437,-0.11316231517006285,-0.29272870721084127,0.29272870721084127,-0.32257422367125976,1.1452014070354055,1.0279953337988395,1.0160454440139493,1.08343949365047,0.9462753542456557,0.9820216756898672
breadth,cyclical_defensive_spread_5d,0.1107196123252059,-0.17051181706102575,0.24140962643759079,-0.28123142938623164,0.28123142938623164,0.1306900141123849,-0.0009196814032537833,-0.007016687148008092,0.0019136355150018776,-0.000829446660607255,-0.006918620037608361,1.849378432765454e-05
cross_asset,iwm_relative_return_5,0.1408485053106424,-0.12973289810787936,-0.04182572051109614,-0.2705814034185217,0.2705814034185217,-0.18267422582173856,4.893450232703143e-05,-0.004017913069235562,-0.0026966652406128816,0.00010643444878785224,-0.0035828820187878718,-0.0017600699076634682
volatility,vix_vix3m_ratio,-0.5616347026186335,-0.3415315041546641,-0.3222215028304055,0.22010319846396934,0.22010319846396934,0.23941319978822792,0.8830623993258887,0.9048399193210901,0.9067504955547891,0.866404493764555,0.9170394935687858,0.9043904788978423
cross_asset,dxy_return_5d,0.06662024548002338,0.2531093767044699,-0.016520094619128973,0.18648913122444655,0.18648913122444655,-0.08314034009915236,0.0013444824061600265,0.0035455384630828143,0.0003632104792206667,0.00043136671730802133,0.0020772914399873306,0.0004725425563352282
volatility,vvix_level,1.3497498694236925,1.1821475751449522,-0.1497116365492007,-0.16760229427874038,0.16760229427874038,-1.4994615059728933,117.26254549893466,114.35790980945934,91.27609093405984,115.93499755859375,114.47500228881836,89.90499877929688
liquidity,log_volume_change,0.11625060311634398,-0.04323436419577443,-0.05295023824697235,-0.15948496731211842,0.15948496731211842,-0.16920084136331634,0.0364974585930619,-0.01679883999897446,-0.02004566716546137,-0.0032252908101534994,-0.04179763600424783,-0.019207119281760585
rates_credit,tlt_ief_relative_return_5,-0.22466942514381105,-0.383160099192754,-0.39445857555879055,-0.15849067404894296,0.15849067404894296,-0.1697891504149794,-0.0009146326863987031,-0.002942291804423853,-0.0030868394805622667,0.0014136302576493592,-0.0015279344018495136,-0.0023696866788805583
volatility,vix_level,0.13180029914317903,0.2742805174664561,-0.06517901542641062,0.14248021832327704,0.14248021832327704,-0.19697931456958964,22.962272696061568,24.548000058260833,20.770000024275348,21.989999771118164,23.920000076293945,19.72000026702881
breadth,sector_average_correlation_20d,-0.6115642140938017,-0.5429379292488844,-0.2635574383691706,0.06862628484491727,0.06862628484491727,0.348006775724631,0.5126746214580189,0.5254398891528159,0.5774078306324206,0.5290601502719028,0.4933650294924502,0.5914865454956567
breadth,sector_return_dispersion_5d,0.39464617255787743,0.4524299022173873,0.22000784681507762,0.0577837296595099,0.0577837296595099,-0.1746383257427998,0.01965104556979223,0.02026510874341281,0.017795177747252682,0.018280897222757546,0.018771980510619724,0.016918906055338995
