target_name,volatility_window,threshold_multiplier,down_share,flat_share,up_share,median_flat_boundary,median_flat_boundary_percent,flat_share_block_min,flat_share_block_max,flat_share_block_range,flat_share_by_block,decision_threshold,stage1_roc_auc,stage1_average_precision,stage1_brier_score,stage1_balanced_accuracy,stage1_macro_f1,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,stage1_move_f1,stage1_roc_auc_fold_mean,stage1_roc_auc_fold_std,stage1_flat_f1_fold_mean,stage1_flat_f1_fold_std,fold_metrics,oof_rows,neighbor_roc_auc_mean,neighbor_roc_auc_min
flat_90d_k800,90,0.8,0.16403691574873475,0.6448347722536469,0.19112831199761834,0.0071530304155903585,0.7153030415590358,0.6235119047619048,0.6666666666666666,0.04315476190476186,"[0.6235119047619048, 0.6339285714285714, 0.6339285714285714, 0.6666666666666666, 0.6661698956780924]",0.5261221826076508,0.662263136038439,0.5042288872250281,0.22559769716789937,0.62132841698648,0.6231010984278933,0.7343108504398826,0.7615571776155717,0.7476858763810093,0.49851632047477745,0.6680003911795328,0.024561036442434986,0.7471760685380149,0.012045362145540608,"[{'roc_auc': 0.6425037387836491, 'average_precision': 0.4816042455213754, 'balanced_accuracy': 0.5840135842472582, 'flat_f1': 0.7579831932773109, 'flat_recall': 0.8290441176470589}, {'roc_auc': 0.660320616532253, 'average_precision': 0.5266794731028084, 'balanced_accuracy': 0.6378058269214144, 'flat_f1': 0.7303689687795648, 'flat_recall': 0.7174721189591078}, {'roc_auc': 0.7011768182226961, 'average_precision': 0.5455159278898664, 'balanced_accuracy': 0.6435853128974652, 'flat_f1': 0.7531760435571688, 'flat_recall': 0.7384341637010676}]",2517,0.6540515540692615,0.6458399721000841
flat_60d_k800,60,0.8,0.16969336111938077,0.6305448050014886,0.19976183387913068,0.006970306593241588,0.6970306593241588,0.6101190476190477,0.6423248882265276,0.032205840607479885,"[0.6101190476190477, 0.6309523809523809, 0.6279761904761905, 0.6413690476190477, 0.6423248882265276]",0.4926213026046753,0.6593123189593922,0.5051646517660753,0.22712637226210358,0.6292117560255779,0.623523957322409,0.7407407407407407,0.6728971962616822,0.7051909892262488,0.5418569254185692,0.6663740497054156,0.03324743215859256,0.7002520017524039,0.04912889918400448,"[{'roc_auc': 0.6239563820417076, 'average_precision': 0.4671106263980404, 'balanced_accuracy': 0.6040299470282475, 'flat_f1': 0.745374449339207, 'flat_recall': 0.7818853974121996}, {'roc_auc': 0.6700146246540242, 'average_precision': 0.5556819942064801, 'balanced_accuracy': 0.6333623409115632, 'flat_f1': 0.723444976076555, 'flat_recall': 0.7241379310344828}, {'roc_auc': 0.7051511424205151, 'average_precision': 0.5518847733128626, 'balanced_accuracy': 0.6530029694236337, 'flat_f1': 0.6319365798414496, 'flat_recall': 0.514760147601476}]",2517,0.6573560966347909,0.6553998743101895
flat_60d_k775,60,0.775,0.17505209883894016,0.6189342066091098,0.20601369455194998,0.006752484512202788,0.6752484512202789,0.5952380952380952,0.6348733233979136,0.03963522815981835,"[0.5952380952380952, 0.6190476190476191, 0.6116071428571429, 0.6339285714285714, 0.6348733233979136]",0.5320824682712555,0.6553998743101895,0.5155470115952135,0.23087447753445461,0.6218945041725781,0.6230930599046274,0.7143734643734644,0.7379441624365483,0.7259675405742821,0.5202185792349727,0.6604520209444856,0.03610428975742403,0.7252159825457895,0.015521217567626375,"[{'roc_auc': 0.6175558312655087, 'average_precision': 0.479357165981497, 'balanced_accuracy': 0.5900081496618499, 'flat_f1': 0.7450302506482281, 'flat_recall': 0.8178368121442126}, {'roc_auc': 0.6579164277522935, 'average_precision': 0.5414150517789184, 'balanced_accuracy': 0.6152791714449541, 'flat_f1': 0.7071290944123314, 'flat_recall': 0.716796875}, {'roc_auc': 0.7058838038156546, 'average_precision': 0.5632591545312792, 'balanced_accuracy': 0.6626987063277714, 'flat_f1': 0.7234886025768087, 'flat_recall': 0.6797020484171322}]",2517,0.6555968177563049,0.6520782599993329
flat_60d_k750,60,0.75,0.17922000595415302,0.6073236082167311,0.2134563858291158,0.006534662431163988,0.6534662431163988,0.5818452380952381,0.6294642857142857,0.04761904761904756,"[0.5818452380952381, 0.6056547619047619, 0.5982142857142857, 0.6294642857142857, 0.6214605067064084]",0.5217037200927734,0.6520782599993329,0.5290055161176345,0.230269583423077,0.6194852720418988,0.6208929532006455,0.7033846153846154,0.7374193548387097,0.72,0.521785906401291,0.6556119274500346,0.03947944873761558,0.7195777399297972,0.008768977998348823,"[{'roc_auc': 0.6060889368332735, 'average_precision': 0.49802992643747274, 'balanced_accuracy': 0.5880978065444085, 'flat_f1': 0.7319223985890653, 'flat_recall': 0.8058252427184466}, {'roc_auc': 0.6580452934319767, 'average_precision': 0.545750578412217, 'balanced_accuracy': 0.6143338011751552, 'flat_f1': 0.7123809523809523, 'flat_recall': 0.7362204724409449}, {'roc_auc': 0.7027015520848537, 'average_precision': 0.5704585806250728, 'balanced_accuracy': 0.6595813263270569, 'flat_f1': 0.7144298688193743, 'flat_recall': 0.6717267552182163}]",2517,0.6508396681493179,0.6450408701384311
flat_90d_k700,90,0.7,0.18576957427805896,0.591247395058053,0.22298303066388805,0.006258901613641564,0.6258901613641563,0.5654761904761905,0.6205357142857143,0.055059523809523836,"[0.5654761904761905, 0.5863095238095238, 0.5714285714285714, 0.6205357142857143, 0.6125186289120715]",0.5120611488819122,0.648652580688482,0.5425464001875135,0.23106022992506162,0.616006232834689,0.617211262709655,0.6887914840325611,0.7270323859881032,0.707395498392283,0.527027027027027,0.6498679116309845,0.0543570852385389,0.7077088145041922,0.025262815293193464,"[{'roc_auc': 0.5920821079734023, 'average_precision': 0.49838505338892425, 'balanced_accuracy': 0.5692343124402084, 'flat_f1': 0.6737044145873321, 'flat_recall': 0.7005988023952096}, {'roc_auc': 0.6348559191405745, 'average_precision': 0.5477368393556227, 'balanced_accuracy': 0.6060721051454929, 'flat_f1': 0.715219421101774, 'flat_recall': 0.7706237424547284}, {'roc_auc': 0.7226657077789764, 'average_precision': 0.6171131403101455, 'balanced_accuracy': 0.6763274601462304, 'flat_f1': 0.7342026078234705, 'flat_recall': 0.7106796116504854}]",2517,0.6421970541020049,0.6378099262252322
flat_90d_k775,90,0.775,0.16880023816612086,0.6296516820482286,0.20154807978565048,0.00692949821510316,0.692949821510316,0.6086309523809523,0.65424739195231,0.045616439571357636,"[0.6086309523809523, 0.6175595238095238, 0.6160714285714286, 0.6517857142857143, 0.65424739195231]",0.5308249592781067,0.6458399721000841,0.5039382123584724,0.23177984281644015,0.6135889002099332,0.6147284396272203,0.7182587666263603,0.7392657125077785,0.7286108555657773,0.5008460236886633,0.6460596457740042,0.04270947958246638,0.7284550784679631,0.019748547298974878,"[{'roc_auc': 0.5955850966522349, 'average_precision': 0.4659781989750317, 'balanced_accuracy': 0.5803524605158851, 'flat_f1': 0.7176258992805755, 'flat_recall': 0.7542533081285444}, {'roc_auc': 0.6425673295351013, 'average_precision': 0.5202230237870762, 'balanced_accuracy': 0.6120549326400953, 'flat_f1': 0.7115749525616698, 'flat_recall': 0.7129277566539924}, {'roc_auc': 0.7000265111346765, 'average_precision': 0.5567289418904278, 'balanced_accuracy': 0.6502613240418118, 'flat_f1': 0.7561643835616438, 'flat_recall': 0.75}]",2517,0.6497625622372123,0.6411845785731136
flat_60d_k725,60,0.725,0.1845787436737124,0.5933313486156594,0.22208990771062817,0.006316840350125188,0.6316840350125188,0.5639880952380952,0.6205357142857143,0.05654761904761907,"[0.5639880952380952, 0.59375, 0.5758928571428571, 0.6205357142857143, 0.6125186289120715]",0.5102098882198334,0.6450408701384311,0.5347104212468552,0.23069761052060403,0.6163760711931443,0.6175954841706367,0.6904315196998124,0.7277521423862887,0.7086007702182285,0.5265901981230449,0.6496762555292509,0.03442173752287733,0.7079325275201563,0.012640046798992888,"[{'roc_auc': 0.6037156456318133, 'average_precision': 0.5072652339550345, 'balanced_accuracy': 0.5900299991732512, 'flat_f1': 0.7207207207207207, 'flat_recall': 0.7984031936127745}, {'roc_auc': 0.6587640886125146, 'average_precision': 0.5597381147430993, 'balanced_accuracy': 0.6226813412005794, 'flat_f1': 0.7123552123552124, 'flat_recall': 0.7409638554216867}, {'roc_auc': 0.6865490323434249, 'average_precision': 0.5686993075263492, 'balanced_accuracy': 0.6411160827048678, 'flat_f1': 0.6907216494845361, 'flat_recall': 0.6467181467181468}]",2517,0.6449039166210497,0.6375926197253852
flat_90d_k750,90,0.75,0.17415897588568027,0.6177433760047634,0.20809764810955642,0.006705966014615961,0.670596601461596,0.5967261904761905,0.6443452380952381,0.04761904761904767,"[0.5967261904761905, 0.6086309523809523, 0.5967261904761905, 0.6443452380952381, 0.6423248882265276]",0.5189135372638702,0.6411845785731136,0.5153478558645346,0.23295491700313603,0.6125649580426651,0.6125166915720868,0.7101080737444374,0.7092063492063492,0.7096569250317663,0.5153764581124072,0.6441662016359792,0.04218840123774492,0.7097066799738946,0.009669377293363816,"[{'roc_auc': 0.5959898483262969, 'average_precision': 0.4800913453115915, 'balanced_accuracy': 0.5877596555166649, 'flat_f1': 0.7079482439926063, 'flat_recall': 0.7393822393822393}, {'roc_auc': 0.6377737117162368, 'average_precision': 0.5324057481946389, 'balanced_accuracy': 0.6058939953838243, 'flat_f1': 0.6988416988416989, 'flat_recall': 0.7056530214424951}, {'roc_auc': 0.6987350448654038, 'average_precision': 0.5670377289871095, 'balanced_accuracy': 0.6486914257228316, 'flat_f1': 0.7223300970873786, 'flat_recall': 0.6838235294117647}]",2517,0.6423844020218326,0.6401286553923001
flat_90d_k725,90,0.725,0.17892229830306638,0.6064304852634713,0.21464721643346235,0.006482433814128762,0.6482433814128762,0.5803571428571429,0.6354166666666666,0.055059523809523725,"[0.5803571428571429, 0.6011904761904762, 0.5877976190476191, 0.6354166666666666, 0.6274217585692996]",0.5385101437568665,0.6401286553923001,0.5236669627748869,0.23319233763680788,0.6075212946165768,0.6090987341372311,0.6887755102040817,0.7833655705996132,0.7330316742081447,0.4851657940663176,0.6422046404278157,0.043284859275739544,0.7331325930779546,0.01750307274550981,"[{'roc_auc': 0.5911395735418985, 'average_precision': 0.4829010686879592, 'balanced_accuracy': 0.5793599540774226, 'flat_f1': 0.7119565217391305, 'flat_recall': 0.7660818713450293}, {'roc_auc': 0.6385029854651854, 'average_precision': 0.53642148160041, 'balanced_accuracy': 0.5978810333753598, 'flat_f1': 0.732620320855615, 'flat_recall': 0.8090551181102362}, {'roc_auc': 0.6969713622763631, 'average_precision': 0.5871059794046046, 'balanced_accuracy': 0.6482536484093546, 'flat_f1': 0.7548209366391184, 'flat_recall': 0.7754716981132076}]",2517,0.6433219382179652,0.6401286553923001
flat_40d_k775,40,0.775,0.1780291753498065,0.6117892229830306,0.21018160166716285,0.006593273352426877,0.6593273352426877,0.5922619047619048,0.6235119047619048,0.03125,"[0.5922619047619048, 0.6175595238095238, 0.6056547619047619, 0.6235119047619048, 0.6199701937406855]",0.5337785482406616,0.6379418887818455,0.5021519352893962,0.2387289659444072,0.6082711143224149,0.6073088311446895,0.7033618984838497,0.6852922286448297,0.6942094990240729,0.5204081632653061,0.637965126874026,0.04425291706755227,0.6940417549426022,0.010343133429367182,"[{'roc_auc': 0.5755785774869744, 'average_precision': 0.4525774728317645, 'balanced_accuracy': 0.5724312371258936, 'flat_f1': 0.6968576709796673, 'flat_recall': 0.7194656488549618}, {'roc_auc': 0.6648665668591526, 'average_precision': 0.5557366207031937, 'balanced_accuracy': 0.615013307668544, 'flat_f1': 0.6802030456852792, 'flat_recall': 0.6607495069033531}, {'roc_auc': 0.6734502362759509, 'average_precision': 0.5323022664583696, 'balanced_accuracy': 0.6361745162113243, 'flat_f1': 0.70506454816286, 'flat_recall': 0.6749049429657795}]",2517,0.6351488037313441,0.633684800670062
