candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage1_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage1_roc_auc_fold_std,stage1_balanced_accuracy,stage1_flat_precision,stage1_flat_recall,stage1_flat_f1,matched_base_flat_f1,delta_flat_f1_vs_matched_base,stage1_move_f1,stage1_brier_score
breadth+equity_rotation+flat_regime_state+macro_cross_asset+trend_direction+volatility_options_core,breadth|equity_rotation|flat_regime_state|macro_cross_asset|trend_direction|volatility_options_core,6,119,2875,2008-04-10,2020-10-26,0.598968388030888,0.5530848107824211,0.04588357724846692,0.007017014566386982,0.5679375212923007,0.5114093959731544,0.4252232142857143,0.4643510054844607,0.4275184275184275,0.036832577966033175,0.6704161979752531,0.24266284890501105
equity_rotation+flat_regime_state+futures_core+trend_direction+volatility_options_core,equity_rotation|flat_regime_state|futures_core|trend_direction|volatility_options_core,5,106,2881,2008-04-10,2020-10-26,0.5981023157642092,0.5665393955223617,0.03156292024184759,0.011075744069435806,0.5745802434711402,0.494,0.5501113585746102,0.5205479452054794,0.45278592375366566,0.06776202145181376,0.6242774566473989,0.24242834788270273
equity_rotation+flat_regime_state+macro_cross_asset+trend_direction+volatility_options_core,equity_rotation|flat_regime_state|macro_cross_asset|trend_direction|volatility_options_core,5,104,2875,2008-04-10,2020-10-26,0.5783334871110607,0.5530848107824211,0.025248676328639585,0.004203081886261827,0.5697278489098342,0.5068493150684932,0.45424107142857145,0.4791053560918187,0.4275184275184275,0.0515869285733912,0.6607895745496358,0.2453600887062412
breadth+calendar+equity_rotation+flat_regime_state+futures_core+interaction_consensus+macro_cross_asset+rates_credit+technical_dynamics+trend_direction+volatility_options_core,breadth|calendar|equity_rotation|flat_regime_state|futures_core|interaction_consensus|macro_cross_asset|rates_credit|technical_dynamics|trend_direction|volatility_options_core,11,187,2875,2008-04-10,2020-10-26,0.5779688564615035,0.5530848107824211,0.024884045679082423,0.004871747862504229,0.5641510404837611,0.4891067538126362,0.5011160714285714,0.49503858875413453,0.4275184275184275,0.06752016123570703,0.6327185244587009,0.2504289346636166
breadth+equity_rotation+flat_regime_state+technical_dynamics+trend_direction+volatility_options_core,breadth|equity_rotation|flat_regime_state|technical_dynamics|trend_direction|volatility_options_core,6,132,2883,2008-04-10,2020-10-26,0.5877687754294756,0.5653201994801086,0.022448575949367,0.013603681239872847,0.5667735646473779,0.48798328108672934,0.5212053571428571,0.5040474905558554,0.5159332321699545,-0.011885741614099055,0.6274827725982975,0.24477852127298447
flat_regime_state+futures_core+macro_cross_asset+rates_credit+trend_direction+volatility_options_core,flat_regime_state|futures_core|macro_cross_asset|rates_credit|trend_direction|volatility_options_core,6,120,2875,2008-04-10,2020-10-26,0.5751414163638429,0.5530848107824211,0.02205660558142175,0.046566657133136895,0.5571813607199636,0.47741273100616016,0.5189732142857143,0.49732620320855614,0.4275184275184275,0.06980777569012864,0.6144380639868745,0.24979007201417205
calendar+equity_rotation+flat_regime_state+interaction_consensus+trend_direction+volatility_options_core,calendar|equity_rotation|flat_regime_state|interaction_consensus|trend_direction|volatility_options_core,6,117,2883,2008-04-10,2020-10-26,0.5865202588155516,0.5653201994801086,0.021200059335443,0.015511832103500458,0.5740986663652803,0.49533678756476685,0.5334821428571429,0.5137023105857066,0.5159332321699545,-0.002230921584247869,0.6319642130947539,0.2467043625013035
breadth+flat_regime_state+futures_core+interaction_consensus+trend_direction+volatility_options_core,breadth|flat_regime_state|futures_core|interaction_consensus|trend_direction|volatility_options_core,6,123,2881,2008-04-10,2020-10-26,0.5875091328149542,0.5665393955223617,0.02096973729259255,0.007038123416143632,0.5701391364504322,0.5156037991858887,0.42316258351893093,0.4648318042813456,0.45278592375366566,0.012045880527679909,0.6741154562383612,0.24855194229399413
calendar+equity_rotation+flat_regime_state+macro_cross_asset+trend_direction+volatility_options_core,calendar|equity_rotation|flat_regime_state|macro_cross_asset|trend_direction|volatility_options_core,6,113,2875,2008-04-10,2020-10-26,0.5730609811492164,0.5530848107824211,0.01997617036679533,0.01575182199660577,0.5653913169997729,0.48530901722391084,0.5345982142857143,0.5087626128518322,0.4275184275184275,0.08124418533340472,0.6185567010309279,0.2510388638183041
calendar+flat_regime_state+interaction_consensus+trend_direction,calendar|flat_regime_state|interaction_consensus|trend_direction,4,93,2943,2008-04-10,2020-10-26,0.5907306399818243,0.570775078925327,0.019955561056497317,0.04654954977126596,0.5734603203130564,0.4929718875502008,0.5377875136911281,0.5144054478784704,0.48488063660477454,0.029524811273695883,0.6293482606957217,0.24681405475122922
equity_rotation+flat_regime_state+interaction_consensus+trend_direction,equity_rotation|flat_regime_state|interaction_consensus|trend_direction,4,94,2943,2008-04-10,2020-10-26,0.5902944737011655,0.570775078925327,0.019519394775838528,0.010294096397211516,0.5724451422351382,0.49731471535982813,0.5071193866374589,0.5021691973969631,0.48488063660477454,0.017288560792188545,0.642244738893219,0.24558329223820585
flat_regime_state+rates_credit+technical_dynamics+trend_direction,flat_regime_state|rates_credit|technical_dynamics|trend_direction,4,109,2943,2008-04-10,2020-10-26,0.5893695807717219,0.570775078925327,0.018594501846394884,0.007420098098497281,0.5776948209386943,0.5159313725490197,0.4611171960569551,0.4869866975130133,0.48488063660477454,0.0021060609082387827,0.6691533010070869,0.2459267915284442
breadth+flat_regime_state+futures_core+macro_cross_asset+technical_dynamics+trend_direction,breadth|flat_regime_state|futures_core|macro_cross_asset|technical_dynamics|trend_direction,6,126,2935,2008-04-10,2020-10-26,0.6014471639471639,0.5829669842827738,0.018480179664390084,0.006583739594104203,0.5780873001267738,0.520253164556962,0.4506578947368421,0.48296122209165687,0.47131608548931386,0.01164513660234301,0.6735905044510386,0.2436824208212057
flat_regime_state+futures_core+macro_cross_asset+technical_dynamics+trend_direction+volatility_options_core,flat_regime_state|futures_core|macro_cross_asset|technical_dynamics|trend_direction|volatility_options_core,6,125,2875,2008-04-10,2020-10-26,0.5701146590392914,0.5530848107824211,0.01702984825687026,0.011390962262276831,0.5612331081081081,0.5048543689320388,0.40625,0.45021645021645024,0.4275184275184275,0.022698022698022735,0.6696395392047566,0.25069020999633307
equity_rotation+flat_regime_state+interaction_consensus+technical_dynamics+trend_direction+volatility_options_core,equity_rotation|flat_regime_state|interaction_consensus|technical_dynamics|trend_direction|volatility_options_core,6,129,2883,2008-04-10,2020-10-26,0.5822846617879747,0.5653201994801086,0.01696446230786608,0.009199162259764077,0.5676635962929475,0.49185667752442996,0.5055803571428571,0.49862410566868465,0.5159332321699545,-0.01730912650126981,0.6360367558929285,0.2474841545009379
flat_regime_state+futures_core+macro_cross_asset+trend_direction+volatility_options_core,flat_regime_state|futures_core|macro_cross_asset|trend_direction|volatility_options_core,5,104,2875,2008-04-10,2020-10-26,0.5699700488303429,0.5530848107824211,0.016885238047921747,0.026236895332753682,0.5615737849193732,0.4897025171624714,0.47767857142857145,0.48361581920903957,0.4275184275184275,0.056097391690612064,0.6398739164696612,0.24976349126733646
flat_regime_state+futures_core+technical_dynamics+trend_direction,flat_regime_state|futures_core|technical_dynamics|trend_direction,4,103,2941,2008-04-10,2020-10-26,0.5995945673379244,0.5837641337859987,0.015830433551925704,0.018147291398624785,0.579637771679715,0.507057546145494,0.5109409190371991,0.508991825613079,0.534838076545633,-0.025846250932553994,0.6500970873786408,0.24440444835144037
