candidate_name,groups,group_count,feature_count,training_rows,training_start,training_end,stage2_roc_auc,matched_base_roc_auc,delta_roc_auc_vs_matched_base,stage2_roc_auc_fold_mean,stage2_roc_auc_fold_std,stage2_average_precision,stage2_brier_score,stage2_balanced_accuracy,stage2_macro_f1,stage2_down_f1,stage2_up_f1
futures_core+rates_credit,futures_core|rates_credit,2,47,3362,2007-06-08,2020-10-26,0.5268426250112218,0.4828885746775593,0.04395405033366251,0.5251551200815927,0.021649110293142905,0.5953869990317594,0.2539671370117943,0.5266930005685729,0.5267251301598017,0.4540367705835332,0.5994134897360703
equity_rotation+interaction_consensus+technical_dynamics,equity_rotation|interaction_consensus|technical_dynamics,3,64,3364,2007-06-08,2020-10-26,0.5346507805161694,0.4915145890176082,0.04313619149856124,0.5333943442405557,0.02352181189777265,0.5954650969004174,0.2536605184222676,0.5369216949203084,0.5367885135088033,0.4729835552075176,0.600593471810089
equity_rotation+futures_core+trend_direction,equity_rotation|futures_core|trend_direction,3,59,3151,2008-04-10,2020-10-26,0.5243665620590156,0.48245329514100976,0.04191326691800579,0.5218291667291485,0.025215805079388254,0.5861536280396253,0.2547636860423616,0.529438277975526,0.52911997618838,0.4739413680781759,0.5842985842985843
breadth+futures_core+rates_credit,breadth|futures_core|rates_credit,3,62,3362,2007-06-08,2020-10-26,0.5244785588173684,0.4828885746775593,0.04158998413980908,0.5289359702795805,0.01507051093103324,0.5921120649306392,0.2556861051276526,0.5278376275548373,0.5276673582149087,0.44553644553644556,0.6097982708933718
breadth+calendar+interaction_consensus+rates_credit+technical_dynamics,breadth|calendar|interaction_consensus|rates_credit|technical_dynamics,5,94,3364,2007-06-08,2020-10-26,0.5328942463956107,0.4915145890176082,0.04137965737800248,0.5306097515864264,0.014222489371793089,0.5987363048921474,0.2570934021167124,0.5295004547419898,0.527220245235911,0.4212358572671889,0.6332046332046332
futures_core+interaction_consensus+technical_dynamics,futures_core|interaction_consensus|technical_dynamics,3,64,3362,2007-06-08,2020-10-26,0.5240558697668851,0.4828885746775593,0.04116729508932582,0.5247674909100054,0.010608597260416169,0.5823704206282663,0.25542775575535803,0.5289504593470389,0.5280898459855925,0.47604562737642586,0.5801340645947592
calendar,calendar,1,30,3368,2007-06-08,2020-10-26,0.5151046580216108,0.4744509384704987,0.04065371955111208,0.5183755703314301,0.019857559384698166,0.5893955231327858,0.26064648377017824,0.5263929127660644,0.5262386311626432,0.4440816326530612,0.6083956296722254
breadth+calendar+rates_credit+volatility_options_core,breadth|calendar|rates_credit|volatility_options_core,4,75,3301,2007-06-08,2020-10-26,0.5329957648012691,0.49279353552363075,0.040202229277638335,0.531342283897695,0.00808544361652137,0.6005989636088755,0.25741485694287813,0.5329860197512674,0.5296264382381266,0.41284403669724773,0.6464088397790055
breadth+futures_core+interaction_consensus+rates_credit,breadth|futures_core|interaction_consensus|rates_credit,4,74,3362,2007-06-08,2020-10-26,0.5225427925905977,0.4828885746775593,0.03965421791303836,0.5290342201868844,0.04095344215858003,0.5864158208785086,0.26532063346519086,0.5310171469611276,0.527180867493271,0.49710982658959535,0.5572519083969466
equity_rotation+interaction_consensus,equity_rotation|interaction_consensus,2,43,3364,2007-06-08,2020-10-26,0.5308479074413681,0.4915145890176082,0.03933331842375992,0.5309569306346847,0.02805415400519774,0.595885697147623,0.2561211977720253,0.5337394328398265,0.5337249247369519,0.4660347551342812,0.6014150943396226
breadth+calendar+rates_credit+volatility_options_short,breadth|calendar|rates_credit|volatility_options_short,4,67,2463,2011-01-11,2020-10-26,0.5188792084533558,0.47987161430502573,0.03900759414833005,0.5208223969812328,0.012225865531544644,0.597061603464751,0.2679859781170964,0.5248508418676084,0.5218691601800329,0.48539778449144005,0.5583405358686258
breadth+calendar+volatility_options_core,breadth|calendar|volatility_options_core,3,59,3301,2007-06-08,2020-10-26,0.5315924776010026,0.49279353552363075,0.038798942077371834,0.5320528039674884,0.011854225244528135,0.5947085076831906,0.2562727318956737,0.5372377850670752,0.5370944018379196,0.46973365617433416,0.6044551475015051
breadth+futures_core+rates_credit+volatility_options_short,breadth|futures_core|rates_credit|volatility_options_short,4,68,2457,2011-01-11,2020-10-26,0.52030284126354,0.48160409459536097,0.03869874666817902,0.5215464639745134,0.03351247777701702,0.5903168177522358,0.26223057542462963,0.5319642148244769,0.5305462970668231,0.48290155440414506,0.5781910397295013
futures_core+macro_cross_asset+technical_dynamics+volatility_options_short,futures_core|macro_cross_asset|technical_dynamics|volatility_options_short,4,66,2451,2011-01-11,2020-10-26,0.52166587539846,0.48296750564894103,0.03869836974951896,0.5206249173192582,0.03237215512957401,0.5772422289028751,0.25561412158208446,0.5379451776069908,0.5288419198590929,0.3910171730515192,0.6666666666666666
breadth+calendar+futures_core+rates_credit+volatility_options_short,breadth|calendar|futures_core|rates_credit|volatility_options_short,5,77,2457,2011-01-11,2020-10-26,0.520175239607554,0.48160409459536097,0.038571145012193,0.5196744323615602,0.01092738420254178,0.5834213357704419,0.25944122605821246,0.5180769012646742,0.5179666552156436,0.43673012318029114,0.599203187250996
breadth,breadth,1,36,3368,2007-06-08,2020-10-26,0.5128810588425747,0.4744509384704987,0.03843012037207605,0.5103030536885252,0.018188791911359966,0.5783970320674447,0.2591575285142226,0.5109830913424771,0.5101807241430759,0.4176372712146423,0.6027241770715096
equity_rotation+rates_credit,equity_rotation|rates_credit,2,47,3368,2007-06-08,2020-10-26,0.512523794371968,0.4744509384704987,0.03807285590146936,0.512718018536785,0.008471555931110054,0.5930564538659574,0.2575417953260329,0.5131406338094999,0.5091044909092155,0.48028673835125446,0.5379222434671765
futures_core+rates_credit+technical_dynamics,futures_core|rates_credit|technical_dynamics,3,68,3362,2007-06-08,2020-10-26,0.5200721189813567,0.4828885746775593,0.037183544303797444,0.5219906835405808,0.01346621252187773,0.583209323750414,0.2545985324669783,0.5269024747882813,0.5269204851752022,0.45714285714285713,0.5966981132075472
futures_core+technical_dynamics,futures_core|technical_dynamics,2,52,3362,2007-06-08,2020-10-26,0.519673743902804,0.4828885746775593,0.03678516922524466,0.5194625004216394,0.03652366941813954,0.5925533623337513,0.25919235338639013,0.5159574468085106,0.514275375162472,0.47023809523809523,0.5583126550868487
breadth+trend_direction,breadth|trend_direction,2,54,3157,2008-04-10,2020-10-26,0.5207148931891593,0.48444654849534763,0.03626834469381168,0.5169403397664184,0.013981855537897209,0.577402977770001,0.26033547929808926,0.5328968591454295,0.5325344644750796,0.4504347826086956,0.6146341463414634
breadth+calendar+equity_rotation+futures_core+interaction_consensus+macro_cross_asset+rates_credit+technical_dynamics+trend_direction+volatility_options_core,breadth|calendar|equity_rotation|futures_core|interaction_consensus|macro_cross_asset|rates_credit|technical_dynamics|trend_direction|volatility_options_core,10,154,3078,2008-04-10,2020-10-26,0.5175786412899814,0.48179795576702794,0.03578068552295349,0.5250923942087309,0.019163273330028194,0.5892184572186773,0.2645852033786705,0.5203013481363997,0.5199619152614567,0.4343163538873995,0.6056074766355141
breadth+equity_rotation+futures_core+interaction_consensus+rates_credit,breadth|equity_rotation|futures_core|interaction_consensus|rates_credit,5,84,3362,2007-06-08,2020-10-26,0.5184580453062813,0.4828885746775593,0.035569470628721955,0.5171885220002759,0.013510168341943558,0.5858231823429351,0.2640298318464241,0.5251107220875603,0.5251362191100273,0.45156124899919936,0.5987111892208553
