trade_date,actual_log_return,sarimax_prediction,is_out_of_sample,data_split,forecast_mode,oof_fold
1996-12-24,0.007298541417354488,0.0008387485108646527,True,train,one_step_walk_forward,1
1996-12-26,0.007658114628419411,0.0007976323167213238,True,train,one_step_walk_forward,1
1996-12-27,0.0012363488078053497,0.0008221786607464697,True,train,one_step_walk_forward,1
1996-12-30,-0.00868671439631695,0.0008307751832625492,True,train,one_step_walk_forward,1
1996-12-31,-0.01844916059616408,0.0007976362746023962,True,train,one_step_walk_forward,1
1997-01-02,0.0025359269718776994,0.0007552800232408317,True,train,one_step_walk_forward,1
1997-01-03,0.014250031577683436,0.0007221331988185339,True,train,one_step_walk_forward,1
1997-01-06,-0.00877748582122352,0.0007301112758779252,True,train,one_step_walk_forward,1
1997-01-07,0.01210112826592561,0.0007301096927254957,True,train,one_step_walk_forward,1
1997-01-08,-0.008748233255614711,0.0007288751765407613,True,train,one_step_walk_forward,1
1997-01-09,0.00833338155914424,0.0007129198139981939,True,train,one_step_walk_forward,1
1997-01-10,0.010730602345086925,0.0007294952051498799,True,train,one_step_walk_forward,1
1997-01-13,-0.0014378147696274715,0.0007221260746326044,True,train,one_step_walk_forward,1
1997-01-14,0.012460584060377727,0.0006988126636397654,True,train,one_step_walk_forward,1
1997-01-15,-0.002439025599358747,0.0007313426257578026,True,train,one_step_walk_forward,1
1997-01-16,0.0040617440081776425,0.0007313426257578026,True,train,one_step_walk_forward,1
1997-01-17,0.006061849235195759,0.0007221308240898902,True,train,one_step_walk_forward,1
1997-01-21,0.008016074988236125,0.0007307241803011133,True,train,one_step_walk_forward,1
1997-01-22,0.00715993512209254,0.0007884110161388408,True,train,one_step_walk_forward,1
1997-01-23,-0.013969494781987639,0.0007307241803011133,True,train,one_step_walk_forward,1
1997-01-24,-0.012945164592036963,0.0007239766615453852,True,train,one_step_walk_forward,1
1997-01-27,-0.0028542323148652874,0.0007141487891494293,True,train,one_step_walk_forward,1
1997-01-28,0.0028542323148652354,0.0006895992788194254,True,train,one_step_walk_forward,1
1997-01-29,0.00972454989199478,0.0006883710952444062,True,train,one_step_walk_forward,1
1997-01-30,0.012820688429061469,0.0006969644514556277,True,train,one_step_walk_forward,1
1997-01-31,-0.001194981221666993,0.0006883734699730483,True,train,one_step_walk_forward,1
1997-02-03,0.002984779849992458,0.0006889958733108106,True,train,one_step_walk_forward,1
1997-02-04,0.00614045704765202,0.0007055696813100662,True,train,one_step_walk_forward,1
1997-02-05,-0.018938072221691506,0.0007141638290975028,True,train,one_step_walk_forward,1
1997-02-06,0.006619219835243861,0.0007227548105800813,True,train,one_step_walk_forward,1
1997-02-07,0.013502985147664426,0.0007055680981576367,True,train,one_step_walk_forward,1
1997-02-10,-0.009512556867698554,0.0007380948939708165,True,train,one_step_walk_forward,1
1997-02-11,0.011483000854997278,0.0007466874586058245,True,train,one_step_walk_forward,1
1997-02-12,0.0140737272116619,0.0007074210597990611,True,train,one_step_walk_forward,1
1997-02-13,0.010810916104215676,0.0007988620834487724,True,train,one_step_walk_forward,1
1997-02-14,-0.0023068060979150595,0.0008068441183892352,True,train,one_step_walk_forward,1
1997-02-18,0.008432399524597609,0.0007988707907871306,True,train,one_step_walk_forward,1
1997-02-19,-0.006701796266018558,0.0008154398493290995,True,train,one_step_walk_forward,1
1997-02-20,-0.01217759322323446,0.0008234147600836336,True,train,one_step_walk_forward,1
1997-02-21,0.00038887809162041877,0.0007485396286710331,True,train,one_step_walk_forward,1
1997-02-24,0.011788715131613932,0.0007976323167213238,True,train,one_step_walk_forward,1
1997-02-25,0.0007681966961223688,0.0007982460127207262,True,train,one_step_walk_forward,1
1997-02-26,-0.009838991303901465,0.0007982452211445119,True,train,one_step_walk_forward,1
1997-02-27,-0.015040814847558143,0.0007663265802972353,True,train,one_step_walk_forward,1
